0,1,2,3,4,5,6
19.93,20.0,365.0,1.0,0.5,1.0,1628.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1189.6
2.63,5.0,90.0,2.0,0.5,1.0,1404.7
9.17,10.0,90.0,1.0,0.5,1.0,1742.9
99.64,100.0,365.0,1.0,0.5,1.0,1443.3
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1439.099999
36.63,50.0,365.0,1.0,0.5,1.0,1665.599999
49.99,50.0,30.0,2.0,0.5,1.0,1398.4
0.18,20.0,180.0,2.0,0.5,1.0,1524.2
26.32,50.0,90.0,1.0,0.5,1.0,1558.1
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1762.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1319.2
49.82,50.0,365.0,1.0,0.5,1.0,1752.3
15.38,20.0,30.0,1.0,0.5,1.0,1428.1
18.35,20.0,90.0,1.0,0.5,1.0,1180.599999
4.59,5.0,90.0,1.0,0.5,1.0,1230.4
48.54,50.0,30.0,1.0,0.5,1.0,1236.4
1.92,10.0,7.0,2.0,0.5,1.0,2120.8
0.18,10.0,90.0,2.0,0.5,1.0,1482.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1686.6
4.98,5.0,365.0,1.0,0.5,1.0,1713.8
9.62,50.0,7.0,1.0,0.5,1.0,1761.6
0.09,5.0,90.0,2.0,0.5,1.0,1228.099999
0.45,100.0,365.0,2.0,0.5,1.0,2123.400001
0.36,20.0,90.0,2.0,0.5,1.0,1574.7
0.23,50.0,365.0,2.0,0.5,1.0,1727.8
4.3,20.0,365.0,1.0,0.5,1.0,1368.3
3.66,5.0,365.0,2.0,0.5,1.0,1312.299999
0.02,5.0,365.0,2.0,0.5,1.0,1263.2
19.99,20.0,7.0,1.0,0.5,1.0,1507.0
9.96,10.0,365.0,1.0,0.5,1.0,1376.5
52.63,100.0,90.0,1.0,0.5,1.0,1555.4
4.99,5.0,180.0,1.0,0.5,1.0,2249.4
0.09,20.0,365.0,2.0,0.5,1.0,1318.9000010000002
45.87,50.0,90.0,1.0,0.5,1.0,1425.3
17.86,50.0,180.0,1.0,0.5,1.0,1530.7
0.96,5.0,7.0,2.0,0.5,1.0,1340.3
19.86,20.0,7.0,1.0,0.5,1.0,1171.2
8.47,10.0,180.0,1.0,0.5,1.0,2206.7000009999997
49.99,50.0,7.0,1.0,0.5,1.0,1322.4
49.65,50.0,7.0,1.0,0.5,1.0,1258.5
14.65,20.0,365.0,1.0,0.5,1.0,1391.9
5.26,10.0,90.0,1.0,0.5,1.0,1886.7
35.71,100.0,180.0,1.0,0.5,1.0,1739.5
1.05,20.0,30.0,2.0,0.5,1.0,2258.1
97.09,100.0,30.0,1.0,0.5,1.0,1774.099999
9.99,10.0,90.0,1.0,0.5,1.0,1335.7000010000002
10.53,20.0,90.0,1.0,0.5,1.0,1419.9
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1550.1
21.51,100.0,365.0,1.0,0.5,1.0,1133.6
9.99,10.0,30.0,1.0,0.5,1.0,1407.1
1.08,5.0,365.0,2.0,0.5,1.0,1181.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1252.799999
4.99,5.0,90.0,1.0,0.5,1.0,1324.599999
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1293.0
9.99,10.0,7.0,1.0,0.5,1.0,1269.9
0.91,50.0,90.0,2.0,0.5,1.0,2152.0
0.05,5.0,180.0,2.0,0.5,1.0,2053.4
0.05,10.0,365.0,2.0,0.5,1.0,1523.6
9.93,10.0,7.0,1.0,0.5,1.0,1868.7000010000002
10.75,50.0,365.0,1.0,0.5,1.0,1237.8
0.46,50.0,180.0,2.0,0.5,1.0,1673.0
49.91,50.0,180.0,1.0,0.5,1.0,1088.2
0.26,5.0,30.0,2.0,0.5,1.0,2606.599999
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2842.4
2.15,10.0,365.0,1.0,0.5,1.0,1858.8
76.92,100.0,30.0,1.0,0.5,1.0,1487.3
38.46,50.0,30.0,1.0,0.5,1.0,1513.4000010000002
2.63,50.0,30.0,2.0,0.5,1.0,2017.5
5.26,100.0,30.0,1.0,0.5,1.0,1870.6
84.75,100.0,180.0,1.0,0.5,1.0,1523.5
99.97,100.0,30.0,1.0,0.5,1.0,1086.7
99.82,100.0,180.0,1.0,0.5,1.0,1366.3
19.23,100.0,7.0,2.0,0.5,1.0,1777.2
42.37,50.0,180.0,1.0,0.5,1.0,1731.5
19.99,20.0,30.0,1.0,0.5,1.0,1269.5
3.57,10.0,180.0,1.0,0.5,1.0,2842.1
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1217.4
4.67,5.0,7.0,1.0,0.5,1.0,1821.3
1.79,5.0,180.0,2.0,0.5,1.0,2126.0
4.85,5.0,30.0,1.0,0.5,1.0,1948.9000010000002
0.09,10.0,180.0,2.0,0.5,1.0,1464.099999
0.53,10.0,30.0,2.0,0.5,1.0,1593.1
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1304.6
7.33,10.0,365.0,1.0,0.5,1.0,2504.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1957.1
18.69,20.0,7.0,1.0,0.5,1.0,1528.6
