0,1,2,3,4,5,6
18.69,20.0,7.0,1.0,0.5,1.0,2953.6
4.99,5.0,90.0,1.0,0.5,1.0,1846.6
9.62,50.0,7.0,2.0,0.5,1.0,2092.7
3.57,10.0,180.0,1.0,0.5,1.0,2975.2
99.99000000000001,100.0,7.0,1.0,0.5,1.0,2302.4
4.3,20.0,365.0,1.0,0.5,1.0,2425.4
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2431.5
1.08,5.0,365.0,1.0,0.5,1.0,2681.4
0.09,5.0,90.0,2.0,0.5,1.0,3096.2
4.24,5.0,180.0,1.0,0.5,1.0,2681.9
42.37,50.0,180.0,1.0,0.5,1.0,1975.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2244.7
4.99,5.0,30.0,1.0,0.5,1.0,1585.4
5.26,10.0,90.0,1.0,0.5,1.0,2621.0
0.96,5.0,7.0,2.0,0.5,1.0,2082.6
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1868.6
99.3,100.0,7.0,1.0,0.5,1.0,2002.9
0.91,50.0,90.0,2.0,0.5,1.0,1939.1
0.45,100.0,365.0,2.0,0.5,1.0,1865.2
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2754.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2172.4
7.14,20.0,180.0,1.0,0.5,1.0,2455.0
21.51,100.0,365.0,2.0,0.5,1.0,2053.7
5.26,100.0,30.0,2.0,0.5,1.0,2398.9
73.26,100.0,365.0,1.0,0.5,1.0,2120.1
15.38,20.0,30.0,2.0,0.5,1.0,3128.3
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2010.0
2.63,5.0,90.0,1.0,0.5,1.0,2281.2
1.79,5.0,180.0,2.0,0.5,1.0,2403.2
38.46,50.0,30.0,1.0,0.5,1.0,1886.1
49.65,50.0,7.0,2.0,0.5,1.0,2521.1
0.09,20.0,365.0,2.0,0.5,1.0,1907.2
10.53,20.0,90.0,1.0,0.5,1.0,2405.1
99.64,100.0,365.0,1.0,0.5,1.0,1993.6
16.95,20.0,180.0,1.0,0.5,1.0,1676.6
4.99,5.0,7.0,1.0,0.5,1.0,1729.5
1.82,100.0,90.0,2.0,0.5,1.0,2078.7
36.63,50.0,365.0,1.0,0.5,1.0,1770.9
4.99,5.0,180.0,1.0,0.5,1.0,2696.3
2.63,50.0,30.0,2.0,0.5,1.0,2254.9
84.75,100.0,180.0,1.0,0.5,1.0,1745.0
35.71,100.0,180.0,1.0,0.5,1.0,2951.6
45.87,50.0,90.0,1.0,0.5,1.0,1809.9
3.66,5.0,365.0,1.0,0.5,1.0,1701.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1950.1
99.82,100.0,180.0,1.0,0.5,1.0,1569.0
52.63,100.0,90.0,2.0,0.5,1.0,2933.4
9.96,10.0,365.0,1.0,0.5,1.0,2081.6
19.99,20.0,30.0,1.0,0.5,1.0,1572.6
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2246.2
49.99,50.0,7.0,1.0,0.5,1.0,1926.4
9.99,10.0,7.0,1.0,0.5,1.0,1532.3
9.99,10.0,30.0,1.0,0.5,1.0,1646.1
10.75,50.0,365.0,2.0,0.5,1.0,2944.9
19.86,20.0,7.0,1.0,0.5,1.0,2268.0
1.92,10.0,7.0,2.0,0.5,1.0,1600.1
19.23,100.0,7.0,1.0,0.5,1.0,2427.7
97.09,100.0,30.0,1.0,0.5,1.0,1461.9
17.86,50.0,180.0,2.0,0.5,1.0,2964.1
49.96,50.0,90.0,1.0,0.5,1.0,1751.5
0.23,50.0,365.0,2.0,0.5,1.0,1661.8
9.17,10.0,90.0,1.0,0.5,1.0,2367.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2794.0
9.98,10.0,180.0,1.0,0.5,1.0,1682.3
4.59,5.0,90.0,1.0,0.5,1.0,1591.7
2.15,10.0,365.0,1.0,0.5,1.0,2641.3
4.98,5.0,365.0,1.0,0.5,1.0,1403.2
19.99,20.0,7.0,1.0,0.5,1.0,1553.5
48.54,50.0,30.0,1.0,0.5,1.0,1623.5
0.05,5.0,180.0,2.0,0.5,1.0,2870.6
