0,1,2,3,4,5,6
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2781.5
9.62,50.0,7.0,2.0,0.5,1.0,2700.1
49.91,50.0,180.0,1.0,0.5,1.0,1937.8
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1713.4
1.92,10.0,7.0,2.0,0.5,1.0,1585.7
76.92,100.0,30.0,2.0,0.5,1.0,4874.5
5.26,100.0,30.0,2.0,0.5,1.0,1413.2
99.97,100.0,30.0,1.0,0.5,1.0,2650.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1898.9
0.09,10.0,180.0,2.0,0.5,1.0,3641.6
4.59,5.0,90.0,1.0,0.5,1.0,2658.9
0.26,5.0,30.0,2.0,0.5,1.0,3465.0
18.69,20.0,7.0,1.0,0.5,1.0,2533.5
2.63,50.0,30.0,2.0,0.5,1.0,1585.2
9.99,10.0,90.0,1.0,0.5,1.0,1457.4
19.99,20.0,7.0,1.0,0.5,1.0,1459.8
35.71,100.0,180.0,2.0,0.5,1.0,3147.5
10.75,50.0,365.0,1.0,0.5,1.0,2766.7
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1852.2
0.02,5.0,365.0,2.0,0.5,1.0,3043.9
0.09,5.0,90.0,2.0,0.5,1.0,1323.6
16.95,20.0,180.0,1.0,0.5,1.0,3092.1
19.23,100.0,7.0,2.0,0.5,1.0,1702.9
4.99,5.0,7.0,1.0,0.5,1.0,1779.7
0.18,20.0,180.0,2.0,0.5,1.0,1803.5
9.93,10.0,7.0,1.0,0.5,1.0,1899.6
15.38,20.0,30.0,1.0,0.5,1.0,4252.2
4.99,5.0,180.0,1.0,0.5,1.0,1700.3
19.93,20.0,365.0,1.0,0.5,1.0,1691.9
0.45,100.0,365.0,2.0,0.5,1.0,1372.3
17.86,50.0,180.0,1.0,0.5,1.0,2103.7
49.99,50.0,7.0,1.0,0.5,1.0,1525.2
0.18,10.0,90.0,2.0,0.5,1.0,1748.5
2.15,10.0,365.0,1.0,0.5,1.0,4107.6
19.99,20.0,30.0,1.0,0.5,1.0,1871.8
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1899.0
99.82,100.0,180.0,1.0,0.5,1.0,2084.9
3.66,5.0,365.0,1.0,0.5,1.0,1261.1
99.64,100.0,365.0,1.0,0.5,1.0,1148.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1939.8
7.33,10.0,365.0,1.0,0.5,1.0,1996.3
93.46000000000001,100.0,7.0,1.0,0.5,1.0,5208.5
49.99,50.0,30.0,1.0,0.5,1.0,1259.7
1.05,20.0,30.0,2.0,0.5,1.0,1708.2
9.99,10.0,30.0,1.0,0.5,1.0,2484.3
5.26,10.0,90.0,1.0,0.5,1.0,2811.9
0.96,5.0,7.0,2.0,0.5,1.0,1348.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1676.1
0.36,20.0,90.0,2.0,0.5,1.0,2111.8
9.98,10.0,180.0,1.0,0.5,1.0,1779.4
14.65,20.0,365.0,1.0,0.5,1.0,1619.2
49.96,50.0,90.0,1.0,0.5,1.0,2115.8
0.09,20.0,365.0,2.0,0.5,1.0,2435.3
4.99,5.0,30.0,1.0,0.5,1.0,2260.0
4.3,20.0,365.0,1.0,0.5,1.0,3178.8
4.24,5.0,180.0,1.0,0.5,1.0,1267.9
49.82,50.0,365.0,1.0,0.5,1.0,1891.9
73.26,100.0,365.0,1.0,0.5,1.0,1363.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1931.1
18.35,20.0,90.0,1.0,0.5,1.0,1583.5
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2164.8
4.67,5.0,7.0,1.0,0.5,1.0,1507.1
38.46,50.0,30.0,1.0,0.5,1.0,4980.0
9.17,10.0,90.0,1.0,0.5,1.0,1131.3
26.32,50.0,90.0,2.0,0.5,1.0,2447.6
9.99,10.0,7.0,1.0,0.5,1.0,1395.0
36.63,50.0,365.0,1.0,0.5,1.0,1692.8
3.57,10.0,180.0,1.0,0.5,1.0,3843.1
19.86,20.0,7.0,1.0,0.5,1.0,1956.4
4.85,5.0,30.0,1.0,0.5,1.0,1204.0
52.63,100.0,90.0,2.0,0.5,1.0,3351.8
0.05,10.0,365.0,2.0,0.5,1.0,3339.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1140.1
45.87,50.0,90.0,1.0,0.5,1.0,1444.1
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,5620.2
42.37,50.0,180.0,1.0,0.5,1.0,2018.6
99.3,100.0,7.0,1.0,0.5,1.0,1759.2
0.53,10.0,30.0,2.0,0.5,1.0,1795.8
48.54,50.0,30.0,1.0,0.5,1.0,1571.9
10.53,20.0,90.0,2.0,0.5,1.0,4948.5
97.09,100.0,30.0,1.0,0.5,1.0,1315.7
0.46,50.0,180.0,2.0,0.5,1.0,2583.9
2.63,5.0,90.0,1.0,0.5,1.0,2372.1
1.08,5.0,365.0,1.0,0.5,1.0,2491.0
8.47,10.0,180.0,1.0,0.5,1.0,1147.4
1.79,5.0,180.0,1.0,0.5,1.0,5260.8
0.91,50.0,90.0,2.0,0.5,1.0,1765.4
4.98,5.0,365.0,1.0,0.5,1.0,1788.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1292.2
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1147.4
84.75,100.0,180.0,1.0,0.5,1.0,3834.9
4.99,5.0,90.0,1.0,0.5,1.0,908.7
49.65,50.0,7.0,1.0,0.5,1.0,1459.3
9.96,10.0,365.0,1.0,0.5,1.0,1391.4
7.14,20.0,180.0,1.0,0.5,1.0,2372.3
0.92,100.0,180.0,2.0,0.5,1.0,2090.8
0.05,5.0,180.0,2.0,0.5,1.0,2059.7
21.51,100.0,365.0,2.0,0.5,1.0,6459.6
0.23,50.0,365.0,2.0,0.5,1.0,1687.4
1.82,100.0,90.0,2.0,0.5,1.0,1515.5
