0,1,2,3,4,5,6
4.3,20.0,365.0,1.0,0.5,1.0,1910.9
99.97,100.0,30.0,2.0,0.5,1.0,1385.7
49.82,50.0,365.0,1.0,0.5,1.0,1509.2
0.05,10.0,365.0,1.0,0.5,1.0,1226.5
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1178.0
5.26,10.0,90.0,1.0,0.5,1.0,1005.8
99.82,100.0,180.0,1.0,0.5,1.0,1699.3
99.99000000000001,100.0,7.0,2.0,0.5,1.0,1041.1
36.63,50.0,365.0,1.0,0.5,1.0,1507.1
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1306.8
0.46,50.0,180.0,2.0,0.5,1.0,841.0999999000001
0.26,5.0,30.0,2.0,0.5,1.0,1098.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,899.4
0.05,5.0,180.0,2.0,0.5,1.0,1426.2
4.99,5.0,90.0,1.0,0.5,1.0,1176.5
9.99,10.0,90.0,2.0,0.5,1.0,1563.6
0.45,100.0,365.0,1.0,0.5,1.0,296.9
0.36,20.0,90.0,1.0,0.5,1.0,867.6999999000001
76.92,100.0,30.0,1.0,0.5,1.0,1011.2
7.33,10.0,365.0,1.0,0.5,1.0,1059.4
9.17,10.0,90.0,1.0,0.5,1.0,1505.0
4.85,5.0,30.0,2.0,0.5,1.0,1707.4
93.46000000000001,100.0,7.0,2.0,0.5,1.0,240.6
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1101.0
0.18,10.0,90.0,2.0,0.5,1.0,274.8
10.75,50.0,365.0,1.0,0.5,1.0,250.3000001
52.63,100.0,90.0,2.0,0.5,1.0,1165.2
99.3,100.0,7.0,2.0,0.5,1.0,1602.4
49.99,50.0,7.0,2.0,0.5,1.0,770.3000000999999
9.99,10.0,7.0,2.0,0.5,1.0,593.6
97.09,100.0,30.0,1.0,0.5,1.0,1066.6
49.65,50.0,7.0,2.0,0.5,1.0,666.8000000999999
42.37,50.0,180.0,2.0,0.5,1.0,858.7
7.14,20.0,180.0,2.0,0.5,1.0,667.0
26.32,50.0,90.0,2.0,0.5,1.0,674.2
18.35,20.0,90.0,1.0,0.5,1.0,1073.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,768.9
19.99,20.0,7.0,1.0,0.5,1.0,579.9
21.51,100.0,365.0,2.0,0.5,1.0,3858.4
49.91,50.0,180.0,1.0,0.5,1.0,813.0
38.46,50.0,30.0,1.0,0.5,1.0,753.4
15.38,20.0,30.0,1.0,0.5,1.0,409.4000001
48.54,50.0,30.0,1.0,0.5,1.0,690.5
35.71,100.0,180.0,1.0,0.5,1.0,611.8
99.91000000000001,100.0,90.0,2.0,0.5,1.0,738.9
73.26,100.0,365.0,1.0,0.5,1.0,947.0
18.69,20.0,7.0,2.0,0.5,1.0,1073.7
99.64,100.0,365.0,1.0,0.5,1.0,955.1
4.24,5.0,180.0,2.0,0.5,1.0,1194.1
19.99,20.0,30.0,1.0,0.5,1.0,923.1999999000001
0.96,5.0,7.0,2.0,0.5,1.0,1238.3
3.57,10.0,180.0,1.0,0.5,1.0,1490.2
1.92,10.0,7.0,1.0,0.5,1.0,652.2
0.09,20.0,365.0,2.0,0.5,1.0,1179.7
0.23,50.0,365.0,2.0,0.5,1.0,940.3000000999999
1.82,100.0,90.0,2.0,0.5,1.0,617.2
19.979999999999997,20.0,90.0,2.0,0.5,1.0,626.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1049.2
4.59,5.0,90.0,2.0,0.5,1.0,1329.7
2.63,5.0,90.0,2.0,0.5,1.0,1256.3
4.67,5.0,7.0,2.0,0.5,1.0,883.2
4.98,5.0,365.0,2.0,0.5,1.0,1139.7
0.92,100.0,180.0,2.0,0.5,1.0,434.0
8.47,10.0,180.0,2.0,0.5,1.0,656.9
4.99,5.0,7.0,2.0,0.5,1.0,675.5
9.98,10.0,180.0,1.0,0.5,1.0,810.9000000999999
3.66,5.0,365.0,2.0,0.5,1.0,795.4
4.99,5.0,180.0,2.0,0.5,1.0,899.1
2.63,50.0,30.0,2.0,0.5,1.0,593.9
5.26,100.0,30.0,1.0,0.5,1.0,706.0
1.79,5.0,180.0,2.0,0.5,1.0,675.8
9.93,10.0,7.0,2.0,0.5,1.0,1874.6
4.99,5.0,30.0,2.0,0.5,1.0,545.1999999000001
49.96,50.0,90.0,2.0,0.5,1.0,523.1
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,698.9
16.95,20.0,180.0,2.0,0.5,1.0,954.6
0.02,5.0,365.0,2.0,0.5,1.0,722.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,820.3
0.91,50.0,90.0,2.0,0.5,1.0,753.6999999000001
9.99,10.0,30.0,2.0,0.5,1.0,914.5999999000001
0.09,5.0,90.0,1.0,0.5,1.0,209.3
19.86,20.0,7.0,2.0,0.5,1.0,692.7
9.96,10.0,365.0,2.0,0.5,1.0,476.4
2.15,10.0,365.0,2.0,0.5,1.0,637.6999999000001
91.74000000000001,100.0,90.0,2.0,0.5,1.0,659.9
84.75,100.0,180.0,2.0,0.5,1.0,403.9
9.62,50.0,7.0,2.0,0.5,1.0,1097.2
0.09,10.0,180.0,2.0,0.5,1.0,538.1999999000001
19.93,20.0,365.0,2.0,0.5,1.0,730.8
0.53,10.0,30.0,2.0,0.5,1.0,723.2
1.05,20.0,30.0,2.0,0.5,1.0,866.5999999000001
14.65,20.0,365.0,2.0,0.5,1.0,721.1999999000001
1.08,5.0,365.0,1.0,0.5,1.0,1130.8
0.18,20.0,180.0,1.0,0.5,1.0,618.0
49.99,50.0,30.0,2.0,0.5,1.0,1035.5
17.86,50.0,180.0,2.0,0.5,1.0,562.3000000999999
19.23,100.0,7.0,2.0,0.5,1.0,1315.3
45.87,50.0,90.0,2.0,0.5,1.0,928.7
10.53,20.0,90.0,2.0,0.5,1.0,882.4
9.709999999999999,10.0,30.0,2.0,0.5,1.0,562.9
