0,1,2,3,4,5,6
1.82,100.0,90.0,2.0,0.5,1.0,2730.2
0.05,10.0,365.0,1.0,0.5,1.0,2726.0
0.45,100.0,365.0,1.0,0.5,1.0,3484.3
10.53,20.0,90.0,1.0,0.5,1.0,2532.6
0.91,50.0,90.0,2.0,0.5,1.0,3531.6
8.47,10.0,180.0,1.0,0.5,1.0,1447.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1381.2
2.15,10.0,365.0,1.0,0.5,1.0,1646.5
49.96,50.0,90.0,1.0,0.5,1.0,1570.8
73.26,100.0,365.0,1.0,0.5,1.0,995.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1511.1
1.92,10.0,7.0,2.0,0.5,1.0,1918.0
49.65,50.0,7.0,1.0,0.5,1.0,1115.5
1.79,5.0,180.0,1.0,0.5,1.0,1498.8
9.62,50.0,7.0,1.0,0.5,1.0,1056.0
0.09,10.0,180.0,1.0,0.5,1.0,2380.5
4.67,5.0,7.0,1.0,0.5,1.0,1429.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2347.9
36.63,50.0,365.0,1.0,0.5,1.0,1997.0
19.93,20.0,365.0,1.0,0.5,1.0,1351.5
0.26,5.0,30.0,2.0,0.5,1.0,3460.9
99.82,100.0,180.0,1.0,0.5,1.0,1371.2
0.46,50.0,180.0,1.0,0.5,1.0,1567.9
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1490.8
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1523.3
5.26,100.0,30.0,2.0,0.5,1.0,1638.0
84.75,100.0,180.0,1.0,0.5,1.0,2410.3
0.96,5.0,7.0,2.0,0.5,1.0,2232.1
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1766.5
0.36,20.0,90.0,2.0,0.5,1.0,1296.3
21.51,100.0,365.0,1.0,0.5,1.0,1376.5
4.98,5.0,365.0,1.0,0.5,1.0,1074.5
19.86,20.0,7.0,1.0,0.5,1.0,1334.2
9.99,10.0,30.0,1.0,0.5,1.0,1416.4
10.75,50.0,365.0,1.0,0.5,1.0,1602.2
42.37,50.0,180.0,1.0,0.5,1.0,1373.6
0.09,5.0,90.0,1.0,0.5,1.0,3093.5
49.99,50.0,30.0,1.0,0.5,1.0,1208.1
19.23,100.0,7.0,1.0,0.5,1.0,1450.7
0.18,10.0,90.0,1.0,0.5,1.0,1868.7
1.05,20.0,30.0,2.0,0.5,1.0,1940.3
15.38,20.0,30.0,1.0,0.5,1.0,1835.2
97.09,100.0,30.0,1.0,0.5,1.0,2598.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1410.5
4.3,20.0,365.0,1.0,0.5,1.0,1666.9
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1043.6
16.95,20.0,180.0,1.0,0.5,1.0,1906.6
49.91,50.0,180.0,1.0,0.5,1.0,1409.6
99.97,100.0,30.0,1.0,0.5,1.0,1207.9
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1372.5
17.86,50.0,180.0,1.0,0.5,1.0,2497.2
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1048.5
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1892.8
2.63,5.0,90.0,1.0,0.5,1.0,1844.4
19.99,20.0,30.0,1.0,0.5,1.0,1663.7
99.64,100.0,365.0,1.0,0.5,1.0,1598.8
99.3,100.0,7.0,1.0,0.5,1.0,1457.0
3.57,10.0,180.0,1.0,0.5,1.0,1526.8
5.26,10.0,90.0,1.0,0.5,1.0,1101.3
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1905.4
9.93,10.0,7.0,1.0,0.5,1.0,1346.9
52.63,100.0,90.0,2.0,0.5,1.0,5320.8
4.99,5.0,30.0,1.0,0.5,1.0,2156.0
0.53,10.0,30.0,2.0,0.5,1.0,1653.0
19.99,20.0,7.0,2.0,0.5,1.0,1812.7
7.14,20.0,180.0,1.0,0.5,1.0,3263.7
38.46,50.0,30.0,1.0,0.5,1.0,1285.9
9.98,10.0,180.0,1.0,0.5,1.0,1409.9
9.99,10.0,7.0,1.0,0.5,1.0,970.5
4.99,5.0,90.0,1.0,0.5,1.0,1426.8
18.35,20.0,90.0,1.0,0.5,1.0,1508.8
26.32,50.0,90.0,1.0,0.5,1.0,2175.8
49.82,50.0,365.0,1.0,0.5,1.0,1034.9
35.71,100.0,180.0,2.0,0.5,1.0,2886.2
0.09,20.0,365.0,1.0,0.5,1.0,1800.6
0.02,5.0,365.0,1.0,0.5,1.0,1993.6
4.99,5.0,180.0,1.0,0.5,1.0,1172.0
3.66,5.0,365.0,1.0,0.5,1.0,1352.8
0.92,100.0,180.0,2.0,0.5,1.0,2181.5
7.33,10.0,365.0,1.0,0.5,1.0,1514.4
1.08,5.0,365.0,1.0,0.5,1.0,1609.4
76.92,100.0,30.0,1.0,0.5,1.0,1280.7
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1889.5
0.23,50.0,365.0,2.0,0.5,1.0,2261.2
45.87,50.0,90.0,1.0,0.5,1.0,2280.5
18.69,20.0,7.0,1.0,0.5,1.0,1236.3
0.18,20.0,180.0,2.0,0.5,1.0,3136.7
9.96,10.0,365.0,1.0,0.5,1.0,1301.9
4.99,5.0,7.0,1.0,0.5,1.0,2169.8
2.63,50.0,30.0,2.0,0.5,1.0,1701.2
49.99,50.0,7.0,1.0,0.5,1.0,2227.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1087.8
