0,1,2,3,4,5,6
99.82,100.0,180.0,1.0,0.5,1.0,3291.8
73.26,100.0,365.0,1.0,0.5,1.0,2528.7
2.63,50.0,30.0,2.0,0.5,1.0,1841.4
18.69,20.0,7.0,2.0,0.5,1.0,4827.3
16.95,20.0,180.0,1.0,0.5,1.0,1431.2
2.63,5.0,90.0,2.0,0.5,1.0,2890.7
9.99,10.0,30.0,1.0,0.5,1.0,1846.3
9.350000000000001,10.0,7.0,2.0,0.5,1.0,3147.0
0.18,20.0,180.0,2.0,0.5,1.0,1914.5
2.15,10.0,365.0,2.0,0.5,1.0,3121.5
26.32,50.0,90.0,2.0,0.5,1.0,2978.5
42.37,50.0,180.0,1.0,0.5,1.0,4677.9
19.99,20.0,7.0,1.0,0.5,1.0,1734.2
8.47,10.0,180.0,1.0,0.5,1.0,2390.3
14.65,20.0,365.0,2.0,0.5,1.0,2217.4
4.98,5.0,365.0,1.0,0.5,1.0,3379.2
1.05,20.0,30.0,2.0,0.5,1.0,1308.6
0.02,5.0,365.0,2.0,0.5,1.0,1382.2
5.26,100.0,30.0,2.0,0.5,1.0,1341.8
10.53,20.0,90.0,2.0,0.5,1.0,1486.3
93.46000000000001,100.0,7.0,1.0,0.5,1.0,2033.2
0.09,20.0,365.0,2.0,0.5,1.0,1533.0
4.99,5.0,180.0,1.0,0.5,1.0,1751.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1559.0
9.17,10.0,90.0,0.0,0.5,1.0,
21.51,100.0,365.0,0.0,0.5,1.0,
49.96,50.0,90.0,0.0,0.5,1.0,
49.99,50.0,30.0,0.0,0.5,1.0,
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,8305.6
0.09,10.0,180.0,2.0,0.5,1.0,1550.6
36.63,50.0,365.0,2.0,0.5,1.0,2597.4
9.99,10.0,90.0,1.0,0.5,1.0,1204.9
49.65,50.0,7.0,1.0,0.5,1.0,1841.4
4.85,5.0,30.0,1.0,0.5,1.0,1445.1
19.99,20.0,30.0,2.0,0.5,1.0,1184.3
0.91,50.0,90.0,2.0,0.5,1.0,1330.4
99.64,100.0,365.0,1.0,0.5,1.0,1415.2
38.46,50.0,30.0,2.0,0.5,1.0,2053.4
0.18,10.0,90.0,2.0,0.5,1.0,1365.2
0.05,5.0,180.0,2.0,0.5,1.0,955.4
9.98,10.0,180.0,0.0,0.5,1.0,
4.970000000000001,5.0,7.0,1.0,0.5,1.0,8913.5
0.26,5.0,30.0,2.0,0.5,1.0,1079.0
45.87,50.0,90.0,1.0,0.5,1.0,2169.0
0.05,10.0,365.0,2.0,0.5,1.0,967.1
1.92,10.0,7.0,2.0,0.5,1.0,1309.0
0.09,5.0,90.0,2.0,0.5,1.0,1254.1
4.99,5.0,7.0,1.0,0.5,1.0,1140.6
76.92,100.0,30.0,2.0,0.5,1.0,2647.8
19.23,100.0,7.0,2.0,0.5,1.0,1558.4
18.35,20.0,90.0,2.0,0.5,1.0,2102.7
48.54,50.0,30.0,0.0,0.5,1.0,
0.92,100.0,180.0,2.0,0.5,1.0,2015.3
19.93,20.0,365.0,2.0,0.5,1.0,1296.0
0.45,100.0,365.0,2.0,0.5,1.0,982.2
99.3,100.0,7.0,1.0,0.5,1.0,2584.1
0.96,5.0,7.0,2.0,0.5,1.0,982.1
5.26,10.0,90.0,2.0,0.5,1.0,1345.7
1.08,5.0,365.0,2.0,0.5,1.0,2124.2
9.96,10.0,365.0,1.0,0.5,1.0,1266.2
1.79,5.0,180.0,2.0,0.5,1.0,3391.3
9.93,10.0,7.0,0.0,0.5,1.0,
4.67,5.0,7.0,1.0,0.5,1.0,1991.1
97.09,100.0,30.0,1.0,0.5,1.0,2815.0
7.33,10.0,365.0,1.0,0.5,1.0,1957.4
99.97,100.0,30.0,1.0,0.5,1.0,1201.0
0.53,10.0,30.0,2.0,0.5,1.0,1339.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1095.0
