0,1,2,3,4,5,6
36.63,50.0,365.0,2.0,0.5,1.0,1805.0
18.35,20.0,90.0,2.0,0.5,1.0,1411.1
9.709999999999999,10.0,30.0,2.0,0.5,1.0,1332.2
42.37,50.0,180.0,2.0,0.5,1.0,1260.3
0.05,10.0,365.0,2.0,0.5,1.0,1263.1
0.36,20.0,90.0,2.0,0.5,1.0,1069.0
4.99,5.0,7.0,1.0,0.5,1.0,1718.4
0.53,10.0,30.0,2.0,0.5,1.0,1078.7
16.95,20.0,180.0,2.0,0.5,1.0,1609.2
14.65,20.0,365.0,2.0,0.5,1.0,1349.8
1.08,5.0,365.0,2.0,0.5,1.0,1459.3
9.17,10.0,90.0,2.0,0.5,1.0,3126.1
4.99,5.0,90.0,1.0,0.5,1.0,960.6
1.92,10.0,7.0,2.0,0.5,1.0,1120.5
9.98,10.0,180.0,1.0,0.5,1.0,1193.9
0.09,5.0,90.0,2.0,0.5,1.0,1161.1
4.99,5.0,180.0,1.0,0.5,1.0,1829.9
0.26,5.0,30.0,2.0,0.5,1.0,1259.7
1.79,5.0,180.0,2.0,0.5,1.0,948.8
0.45,100.0,365.0,2.0,0.5,1.0,940.6
0.46,50.0,180.0,2.0,0.5,1.0,851.3
49.91,50.0,180.0,1.0,0.5,1.0,1390.4
0.09,20.0,365.0,2.0,0.5,1.0,1038.6
84.75,100.0,180.0,2.0,0.5,1.0,1865.5
49.96,50.0,90.0,1.0,0.5,1.0,1049.8
5.26,100.0,30.0,2.0,0.5,1.0,1161.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1387.0
19.99,20.0,7.0,1.0,0.5,1.0,974.5
9.99,10.0,90.0,1.0,0.5,1.0,772.3
45.87,50.0,90.0,1.0,0.5,1.0,1292.0
3.66,5.0,365.0,2.0,0.5,1.0,1390.7
9.93,10.0,7.0,1.0,0.5,1.0,1161.9
49.65,50.0,7.0,1.0,0.5,1.0,2475.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,880.0
26.32,50.0,90.0,2.0,0.5,1.0,1104.6
4.67,5.0,7.0,1.0,0.5,1.0,920.6999999000001
5.26,10.0,90.0,2.0,0.5,1.0,1090.6
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1116.7
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1093.5
0.18,10.0,90.0,2.0,0.5,1.0,731.5
9.99,10.0,7.0,1.0,0.5,1.0,1352.1
4.99,5.0,30.0,1.0,0.5,1.0,1057.1
19.93,20.0,365.0,1.0,0.5,1.0,824.6999999000001
2.63,5.0,90.0,2.0,0.5,1.0,1069.4
35.71,100.0,180.0,2.0,0.5,1.0,933.8000000999999
9.96,10.0,365.0,1.0,0.5,1.0,982.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1015.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,787.8
1.05,20.0,30.0,2.0,0.5,1.0,873.3000000999999
49.99,50.0,30.0,1.0,0.5,1.0,722.7
99.64,100.0,365.0,1.0,0.5,1.0,1247.9
8.47,10.0,180.0,2.0,0.5,1.0,735.0
93.46000000000001,100.0,7.0,1.0,0.5,1.0,946.7
4.3,20.0,365.0,2.0,0.5,1.0,1113.3
4.85,5.0,30.0,2.0,0.5,1.0,1093.5
3.57,10.0,180.0,2.0,0.5,1.0,1037.8
48.54,50.0,30.0,1.0,0.5,1.0,993.6
97.09,100.0,30.0,1.0,0.5,1.0,1053.0
0.18,20.0,180.0,2.0,0.5,1.0,1018.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,833.6999999000001
10.75,50.0,365.0,2.0,0.5,1.0,953.1
99.82,100.0,180.0,1.0,0.5,1.0,802.3000000999999
49.82,50.0,365.0,1.0,0.5,1.0,1622.9
38.46,50.0,30.0,2.0,0.5,1.0,1295.1
0.05,5.0,180.0,2.0,0.5,1.0,1093.8
9.99,10.0,30.0,1.0,0.5,1.0,856.8
52.63,100.0,90.0,2.0,0.5,1.0,1323.2
99.97,100.0,30.0,1.0,0.5,1.0,793.8
7.33,10.0,365.0,2.0,0.5,1.0,3263.6
49.99,50.0,7.0,1.0,0.5,1.0,882.5
17.86,50.0,180.0,2.0,0.5,1.0,1063.4
0.96,5.0,7.0,2.0,0.5,1.0,1194.1
2.15,10.0,365.0,2.0,0.5,1.0,1729.6
7.14,20.0,180.0,2.0,0.5,1.0,1033.8
76.92,100.0,30.0,2.0,0.5,1.0,1053.7
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1412.4
0.09,10.0,180.0,2.0,0.5,1.0,685.5
4.24,5.0,180.0,1.0,0.5,1.0,2259.8
19.99,20.0,30.0,1.0,0.5,1.0,1039.8
10.53,20.0,90.0,2.0,0.5,1.0,1953.3
18.69,20.0,7.0,1.0,0.5,1.0,1290.8
99.3,100.0,7.0,2.0,0.5,1.0,1284.9
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1344.5
4.98,5.0,365.0,1.0,0.5,1.0,1440.0
1.82,100.0,90.0,2.0,0.5,1.0,1048.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1118.8
4.59,5.0,90.0,1.0,0.5,1.0,984.6999999000001
0.23,50.0,365.0,2.0,0.5,1.0,690.2
15.38,20.0,30.0,2.0,0.5,1.0,1094.8
0.02,5.0,365.0,2.0,0.5,1.0,1127.0
73.26,100.0,365.0,2.0,0.5,1.0,2155.5
0.91,50.0,90.0,2.0,0.5,1.0,1600.8
19.23,100.0,7.0,2.0,0.5,1.0,1424.0
19.86,20.0,7.0,1.0,0.5,1.0,1187.7
2.63,50.0,30.0,2.0,0.5,1.0,948.2
9.62,50.0,7.0,2.0,0.5,1.0,1355.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1045.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1126.9
21.51,100.0,365.0,2.0,0.5,1.0,1446.0
0.92,100.0,180.0,2.0,0.5,1.0,1126.8
