0,1,2,3,4,5,6
4.98,5.0,365.0,1.0,0.5,1.0,2299.0
16.95,20.0,180.0,1.0,0.5,1.0,2172.3
99.82,100.0,180.0,1.0,0.5,1.0,1762.3
52.63,100.0,90.0,1.0,0.5,1.0,3536.0
1.08,5.0,365.0,1.0,0.5,1.0,2959.5
19.99,20.0,30.0,1.0,0.5,1.0,1613.2
0.09,5.0,90.0,2.0,0.5,1.0,2632.5
0.02,5.0,365.0,1.0,0.5,1.0,3645.0
45.87,50.0,90.0,1.0,0.5,1.0,1728.3
38.46,50.0,30.0,1.0,0.5,1.0,1388.9
1.05,20.0,30.0,2.0,0.5,1.0,2040.2
0.23,50.0,365.0,1.0,0.5,1.0,2441.5
0.96,5.0,7.0,2.0,0.5,1.0,3277.5
46.730000000000004,50.0,7.0,2.0,0.5,1.0,4103.1
99.91000000000001,100.0,90.0,1.0,0.5,1.0,3062.9
49.82,50.0,365.0,1.0,0.5,1.0,1819.4
4.67,5.0,7.0,1.0,0.5,1.0,1449.8
19.23,100.0,7.0,2.0,0.5,1.0,2709.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2512.4
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1627.1
17.86,50.0,180.0,1.0,0.5,1.0,2848.2
7.33,10.0,365.0,1.0,0.5,1.0,2535.4
36.63,50.0,365.0,1.0,0.5,1.0,1463.6
9.99,10.0,90.0,1.0,0.5,1.0,2063.9
4.59,5.0,90.0,1.0,0.5,1.0,1571.2
21.51,100.0,365.0,1.0,0.5,1.0,2467.6
19.99,20.0,7.0,1.0,0.5,1.0,3203.1
4.3,20.0,365.0,1.0,0.5,1.0,2532.1
0.53,10.0,30.0,1.0,0.5,1.0,3185.7
0.05,5.0,180.0,1.0,0.5,1.0,2127.6
9.99,10.0,7.0,1.0,0.5,1.0,1450.7
76.92,100.0,30.0,2.0,0.5,1.0,2776.8
15.38,20.0,30.0,1.0,0.5,1.0,1846.2
9.62,50.0,7.0,2.0,0.5,1.0,2583.8
49.91,50.0,180.0,1.0,0.5,1.0,2713.9
97.09,100.0,30.0,1.0,0.5,1.0,3499.9
49.99,50.0,30.0,1.0,0.5,1.0,3390.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1956.1
35.71,100.0,180.0,1.0,0.5,1.0,1963.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,4209.4
19.86,20.0,7.0,1.0,0.5,1.0,3994.6
5.26,100.0,30.0,2.0,0.5,1.0,2752.0
0.18,10.0,90.0,1.0,0.5,1.0,2188.4
4.24,5.0,180.0,1.0,0.5,1.0,3793.3
9.17,10.0,90.0,1.0,0.5,1.0,2859.5
0.05,10.0,365.0,1.0,0.5,1.0,3367.4
99.97,100.0,30.0,1.0,0.5,1.0,2360.6
0.91,50.0,90.0,1.0,0.5,1.0,2548.2
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2224.6
99.64,100.0,365.0,1.0,0.5,1.0,2379.6
0.18,20.0,180.0,1.0,0.5,1.0,3103.0
3.57,10.0,180.0,1.0,0.5,1.0,1479.0
1.92,10.0,7.0,2.0,0.5,1.0,3188.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1492.5
19.959999999999997,20.0,180.0,1.0,0.5,1.0,3550.0
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2847.9
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2228.8
1.82,100.0,90.0,2.0,0.5,1.0,2988.0
4.99,5.0,7.0,1.0,0.5,1.0,3677.2
0.46,50.0,180.0,1.0,0.5,1.0,2065.1
18.69,20.0,7.0,1.0,0.5,1.0,2447.9
4.99,5.0,180.0,1.0,0.5,1.0,3744.8
0.45,100.0,365.0,1.0,0.5,1.0,2012.8
9.93,10.0,7.0,1.0,0.5,1.0,1456.7
49.65,50.0,7.0,1.0,0.5,1.0,2113.1
9.99,10.0,30.0,1.0,0.5,1.0,1835.5
2.63,5.0,90.0,1.0,0.5,1.0,1563.2
99.3,100.0,7.0,1.0,0.5,1.0,3419.3
10.75,50.0,365.0,1.0,0.5,1.0,1348.4
7.14,20.0,180.0,1.0,0.5,1.0,1332.1
0.09,10.0,180.0,1.0,0.5,1.0,1504.1
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1384.0
8.47,10.0,180.0,1.0,0.5,1.0,2333.9
9.96,10.0,365.0,1.0,0.5,1.0,1534.1
0.26,5.0,30.0,1.0,0.5,1.0,1943.1
42.37,50.0,180.0,1.0,0.5,1.0,1412.4
4.99,5.0,90.0,1.0,0.5,1.0,1600.8
49.99,50.0,7.0,2.0,0.5,1.0,1717.9
5.26,10.0,90.0,1.0,0.5,1.0,1663.7
0.36,20.0,90.0,1.0,0.5,1.0,1240.9
84.75,100.0,180.0,1.0,0.5,1.0,2023.9
49.96,50.0,90.0,1.0,0.5,1.0,2414.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1043.3
18.35,20.0,90.0,1.0,0.5,1.0,1552.0
4.85,5.0,30.0,1.0,0.5,1.0,1317.3
9.98,10.0,180.0,1.0,0.5,1.0,1171.2
2.15,10.0,365.0,1.0,0.5,1.0,1389.6
0.92,100.0,180.0,1.0,0.5,1.0,4145.7
