0,1,2,3,4,5,6
36.63,50.0,365.0,1.0,0.5,1.0,3454.6
84.75,100.0,180.0,1.0,0.5,1.0,2808.9
38.46,50.0,30.0,2.0,0.5,1.0,1516.1
97.09,100.0,30.0,1.0,0.5,1.0,1706.8
10.53,20.0,90.0,2.0,0.5,1.0,4619.0
8.47,10.0,180.0,1.0,0.5,1.0,2450.6
0.36,20.0,90.0,2.0,0.5,1.0,2142.6
19.23,100.0,7.0,2.0,0.5,1.0,1835.4
99.3,100.0,7.0,1.0,0.5,1.0,1593.8
7.14,20.0,180.0,2.0,0.5,1.0,2458.8
0.05,10.0,365.0,2.0,0.5,1.0,1786.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2298.7
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1515.1
18.35,20.0,90.0,1.0,0.5,1.0,3660.5
1.92,10.0,7.0,2.0,0.5,1.0,3770.1
4.3,20.0,365.0,2.0,0.5,1.0,2572.2
4.99,5.0,90.0,1.0,0.5,1.0,1323.2
0.26,5.0,30.0,2.0,0.5,1.0,1674.9
99.97,100.0,30.0,1.0,0.5,1.0,1532.8
5.26,10.0,90.0,2.0,0.5,1.0,2106.9
7.33,10.0,365.0,1.0,0.5,1.0,1627.1
4.59,5.0,90.0,1.0,0.5,1.0,1271.2
76.92,100.0,30.0,2.0,0.5,1.0,1930.4
15.38,20.0,30.0,2.0,0.5,1.0,2139.2
18.69,20.0,7.0,2.0,0.5,1.0,1755.0
0.09,20.0,365.0,2.0,0.5,1.0,843.4000000999999
49.96,50.0,90.0,1.0,0.5,1.0,1531.6
49.99,50.0,30.0,1.0,0.5,1.0,1098.3
0.09,10.0,180.0,2.0,0.5,1.0,1548.2
73.26,100.0,365.0,2.0,0.5,1.0,3657.2
17.86,50.0,180.0,2.0,0.5,1.0,3008.2
0.18,20.0,180.0,2.0,0.5,1.0,1962.4
48.54,50.0,30.0,1.0,0.5,1.0,971.5
19.99,20.0,30.0,1.0,0.5,1.0,1022.1
9.93,10.0,7.0,2.0,0.5,1.0,1100.0
9.99,10.0,30.0,2.0,0.5,1.0,906.3
9.98,10.0,180.0,1.0,0.5,1.0,1468.6
93.46000000000001,100.0,7.0,2.0,0.5,1.0,1532.0
1.82,100.0,90.0,2.0,0.5,1.0,1225.2
21.51,100.0,365.0,2.0,0.5,1.0,1771.1
0.45,100.0,365.0,2.0,0.5,1.0,1147.7
10.75,50.0,365.0,2.0,0.5,1.0,2075.2
45.87,50.0,90.0,1.0,0.5,1.0,2099.0
4.99,5.0,30.0,1.0,0.5,1.0,1404.0
9.62,50.0,7.0,2.0,0.5,1.0,2244.3
35.71,100.0,180.0,2.0,0.5,1.0,1434.6
2.63,5.0,90.0,2.0,0.5,1.0,2666.9
4.67,5.0,7.0,2.0,0.5,1.0,1163.4
9.96,10.0,365.0,1.0,0.5,1.0,1435.0
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2074.6
99.64,100.0,365.0,1.0,0.5,1.0,1422.5
0.09,5.0,90.0,2.0,0.5,1.0,3243.1
2.15,10.0,365.0,2.0,0.5,1.0,2538.3
0.05,5.0,180.0,2.0,0.5,1.0,1689.5
9.99,10.0,7.0,1.0,0.5,1.0,1210.4
3.57,10.0,180.0,2.0,0.5,1.0,3230.0
49.91,50.0,180.0,1.0,0.5,1.0,1099.5
9.99,10.0,90.0,1.0,0.5,1.0,1402.9
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2250.6
0.02,5.0,365.0,2.0,0.5,1.0,1546.7
42.37,50.0,180.0,1.0,0.5,1.0,1964.4
99.99000000000001,100.0,7.0,1.0,0.5,1.0,939.9000000999999
1.79,5.0,180.0,2.0,0.5,1.0,2473.8
3.66,5.0,365.0,1.0,0.5,1.0,1322.5
19.93,20.0,365.0,1.0,0.5,1.0,1724.2
14.65,20.0,365.0,1.0,0.5,1.0,1673.8
2.63,50.0,30.0,2.0,0.5,1.0,1070.9
4.85,5.0,30.0,1.0,0.5,1.0,1146.1
49.99,50.0,7.0,1.0,0.5,1.0,2141.6
19.86,20.0,7.0,1.0,0.5,1.0,1131.7
0.18,10.0,90.0,2.0,0.5,1.0,1451.1
0.53,10.0,30.0,2.0,0.5,1.0,954.0
19.99,20.0,7.0,1.0,0.5,1.0,2027.8
49.82,50.0,365.0,1.0,0.5,1.0,1643.1
4.24,5.0,180.0,1.0,0.5,1.0,1962.8
1.08,5.0,365.0,1.0,0.5,1.0,2426.0
0.96,5.0,7.0,2.0,0.5,1.0,1069.5
0.91,50.0,90.0,2.0,0.5,1.0,1113.6
0.46,50.0,180.0,2.0,0.5,1.0,972.7
1.05,20.0,30.0,2.0,0.5,1.0,1532.6
26.32,50.0,90.0,2.0,0.5,1.0,987.5
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1100.3
9.709999999999999,10.0,30.0,1.0,0.5,1.0,3435.2
46.730000000000004,50.0,7.0,2.0,0.5,1.0,1529.6
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1035.8
5.26,100.0,30.0,2.0,0.5,1.0,1244.0
99.91000000000001,100.0,90.0,1.0,0.5,1.0,955.9000000999999
52.63,100.0,90.0,2.0,0.5,1.0,2058.9
49.65,50.0,7.0,1.0,0.5,1.0,3019.8
4.99,5.0,180.0,1.0,0.5,1.0,1242.5
4.99,5.0,7.0,2.0,0.5,1.0,1339.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2442.6
9.17,10.0,90.0,1.0,0.5,1.0,1403.9
0.92,100.0,180.0,2.0,0.5,1.0,986.4000000999999
99.82,100.0,180.0,2.0,0.5,1.0,858.8
16.95,20.0,180.0,1.0,0.5,1.0,1291.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,972.6000001
0.23,50.0,365.0,2.0,0.5,1.0,1066.9
4.98,5.0,365.0,1.0,0.5,1.0,891.3000002
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1823.5
