0,1,2,3,4,5,6
0.46,50.0,180.0,2.0,0.5,1.0,1709.6
0.92,100.0,180.0,2.0,0.5,1.0,1060.3
19.86,20.0,7.0,1.0,0.5,1.0,1438.7
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1827.1
0.91,50.0,90.0,2.0,0.5,1.0,983.5
7.14,20.0,180.0,1.0,0.5,1.0,2917.9
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1767.8
18.69,20.0,7.0,1.0,0.5,1.0,1303.7
1.82,100.0,90.0,2.0,0.5,1.0,904.0
18.35,20.0,90.0,1.0,0.5,1.0,2085.5
9.96,10.0,365.0,1.0,0.5,1.0,1562.6
1.08,5.0,365.0,2.0,0.5,1.0,1930.5
99.97,100.0,30.0,1.0,0.5,1.0,1290.1
48.54,50.0,30.0,1.0,0.5,1.0,2270.2
5.26,100.0,30.0,2.0,0.5,1.0,1271.6
49.82,50.0,365.0,1.0,0.5,1.0,1484.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1382.7
10.53,20.0,90.0,2.0,0.5,1.0,1939.1
9.99,10.0,90.0,1.0,0.5,1.0,1578.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1258.4
0.09,10.0,180.0,2.0,0.5,1.0,1187.0
10.75,50.0,365.0,2.0,0.5,1.0,1346.1
42.37,50.0,180.0,1.0,0.5,1.0,1766.6
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2070.3
2.63,5.0,90.0,2.0,0.5,1.0,1172.7
84.75,100.0,180.0,2.0,0.5,1.0,2023.7
4.99,5.0,7.0,1.0,0.5,1.0,1092.0
49.91,50.0,180.0,1.0,0.5,1.0,1355.2
0.45,100.0,365.0,2.0,0.5,1.0,1197.0
3.57,10.0,180.0,2.0,0.5,1.0,1449.9
19.93,20.0,365.0,1.0,0.5,1.0,1053.4
49.96,50.0,90.0,2.0,0.5,1.0,879.5
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1603.3
0.02,5.0,365.0,2.0,0.5,1.0,1212.5
0.09,20.0,365.0,2.0,0.5,1.0,1398.7
4.3,20.0,365.0,2.0,0.5,1.0,1347.8
9.98,10.0,180.0,1.0,0.5,1.0,1400.7
4.24,5.0,180.0,2.0,0.5,1.0,1637.7
4.59,5.0,90.0,1.0,0.5,1.0,1811.6
2.15,10.0,365.0,2.0,0.5,1.0,2226.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1152.0
4.98,5.0,365.0,1.0,0.5,1.0,1104.8
0.18,10.0,90.0,2.0,0.5,1.0,1078.5
8.47,10.0,180.0,2.0,0.5,1.0,2726.2
5.26,10.0,90.0,2.0,0.5,1.0,1142.8
16.95,20.0,180.0,1.0,0.5,1.0,1763.3
52.63,100.0,90.0,2.0,0.5,1.0,1420.1
38.46,50.0,30.0,2.0,0.5,1.0,1464.0
0.36,20.0,90.0,2.0,0.5,1.0,815.1
0.53,10.0,30.0,2.0,0.5,1.0,1151.6
0.18,20.0,180.0,2.0,0.5,1.0,971.3
1.79,5.0,180.0,2.0,0.5,1.0,1061.4
4.99,5.0,30.0,1.0,0.5,1.0,962.8
4.85,5.0,30.0,2.0,0.5,1.0,1698.5
4.99,5.0,90.0,1.0,0.5,1.0,1205.5
93.46000000000001,100.0,7.0,2.0,0.5,1.0,1756.8
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1346.4
4.99,5.0,180.0,1.0,0.5,1.0,1583.6
76.92,100.0,30.0,2.0,0.5,1.0,1063.7
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1374.7
19.23,100.0,7.0,2.0,0.5,1.0,1312.2
97.09,100.0,30.0,1.0,0.5,1.0,1775.2
9.99,10.0,30.0,1.0,0.5,1.0,1279.9
3.66,5.0,365.0,2.0,0.5,1.0,2657.0
73.26,100.0,365.0,2.0,0.5,1.0,1010.4
45.87,50.0,90.0,1.0,0.5,1.0,2382.6
0.96,5.0,7.0,2.0,0.5,1.0,1774.4
36.63,50.0,365.0,2.0,0.5,1.0,1482.0
9.99,10.0,7.0,1.0,0.5,1.0,1327.3
15.38,20.0,30.0,2.0,0.5,1.0,4981.5
4.67,5.0,7.0,1.0,0.5,1.0,1665.1
1.05,20.0,30.0,2.0,0.5,1.0,1307.9
49.99,50.0,30.0,1.0,0.5,1.0,1247.4
21.51,100.0,365.0,2.0,0.5,1.0,953.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1149.7
99.82,100.0,180.0,2.0,0.5,1.0,1074.5
26.32,50.0,90.0,2.0,0.5,1.0,1387.4
9.93,10.0,7.0,1.0,0.5,1.0,1639.0
9.17,10.0,90.0,1.0,0.5,1.0,1086.9
99.3,100.0,7.0,1.0,0.5,1.0,1481.1
35.71,100.0,180.0,2.0,0.5,1.0,1564.1
99.64,100.0,365.0,1.0,0.5,1.0,1336.9
1.92,10.0,7.0,2.0,0.5,1.0,1568.6
9.62,50.0,7.0,2.0,0.5,1.0,1291.6
49.65,50.0,7.0,1.0,0.5,1.0,1708.5
2.63,50.0,30.0,2.0,0.5,1.0,1212.7
0.23,50.0,365.0,2.0,0.5,1.0,709.6
49.99,50.0,7.0,1.0,0.5,1.0,916.0
0.05,10.0,365.0,2.0,0.5,1.0,1280.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1646.6
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1246.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1855.0
0.05,5.0,180.0,2.0,0.5,1.0,1429.7
19.99,20.0,7.0,1.0,0.5,1.0,1066.4
14.65,20.0,365.0,2.0,0.5,1.0,2789.8
19.99,20.0,30.0,1.0,0.5,1.0,1693.5
0.26,5.0,30.0,2.0,0.5,1.0,939.3
0.09,5.0,90.0,2.0,0.5,1.0,1173.5
17.86,50.0,180.0,2.0,0.5,1.0,1239.4
7.33,10.0,365.0,2.0,0.5,1.0,2847.1
