0,1,2,3,4,5,6
16.95,20.0,180.0,1.0,0.5,1.0,1919.6
99.82,100.0,180.0,2.0,0.5,1.0,1662.3
9.99,10.0,7.0,2.0,0.5,1.0,1163.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1185.3
2.15,10.0,365.0,2.0,0.5,1.0,1412.9
49.65,50.0,7.0,1.0,0.5,1.0,1419.2
1.08,5.0,365.0,2.0,0.5,1.0,2329.5
36.63,50.0,365.0,1.0,0.5,1.0,1235.8
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1376.1
9.98,10.0,180.0,1.0,0.5,1.0,945.4
2.63,50.0,30.0,2.0,0.5,1.0,1381.5
7.14,20.0,180.0,2.0,0.5,1.0,1552.9
14.65,20.0,365.0,1.0,0.5,1.0,1365.5
1.92,10.0,7.0,2.0,0.5,1.0,1552.1
2.63,5.0,90.0,2.0,0.5,1.0,1564.5
4.67,5.0,7.0,1.0,0.5,1.0,1027.9
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1315.0
18.69,20.0,7.0,1.0,0.5,1.0,1134.2
9.62,50.0,7.0,2.0,0.5,1.0,1151.4
49.82,50.0,365.0,1.0,0.5,1.0,1094.5
0.05,5.0,180.0,2.0,0.5,1.0,1369.9
7.33,10.0,365.0,1.0,0.5,1.0,1410.0
0.02,5.0,365.0,2.0,0.5,1.0,1086.4
99.64,100.0,365.0,1.0,0.5,1.0,946.5
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1228.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1194.0
0.05,10.0,365.0,2.0,0.5,1.0,1326.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1080.8
4.970000000000001,5.0,7.0,1.0,0.5,1.0,897.6
84.75,100.0,180.0,1.0,0.5,1.0,872.0
4.99,5.0,180.0,1.0,0.5,1.0,947.9
0.09,5.0,90.0,2.0,0.5,1.0,879.4
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1115.8
42.37,50.0,180.0,1.0,0.5,1.0,977.4
48.54,50.0,30.0,1.0,0.5,1.0,896.7
18.35,20.0,90.0,1.0,0.5,1.0,758.2
35.71,100.0,180.0,2.0,0.5,1.0,1004.3
0.18,20.0,180.0,2.0,0.5,1.0,847.3
10.75,50.0,365.0,2.0,0.5,1.0,1103.2
19.86,20.0,7.0,1.0,0.5,1.0,1029.7
9.709999999999999,10.0,30.0,1.0,0.5,1.0,844.7
49.99,50.0,30.0,1.0,0.5,1.0,859.7
97.09,100.0,30.0,1.0,0.5,1.0,905.0
19.99,20.0,7.0,1.0,0.5,1.0,842.2
5.26,10.0,90.0,1.0,0.5,1.0,1512.0
0.26,5.0,30.0,2.0,0.5,1.0,884.3
1.05,20.0,30.0,2.0,0.5,1.0,926.2
1.79,5.0,180.0,2.0,0.5,1.0,1078.9
4.98,5.0,365.0,1.0,0.5,1.0,786.0
3.57,10.0,180.0,2.0,0.5,1.0,1025.8
0.46,50.0,180.0,2.0,0.5,1.0,1553.0
8.47,10.0,180.0,1.0,0.5,1.0,824.3
4.24,5.0,180.0,1.0,0.5,1.0,870.1
0.18,10.0,90.0,2.0,0.5,1.0,961.2
9.93,10.0,7.0,1.0,0.5,1.0,1100.9
0.09,20.0,365.0,2.0,0.5,1.0,1250.4
45.87,50.0,90.0,1.0,0.5,1.0,834.3
3.66,5.0,365.0,1.0,0.5,1.0,1923.1
19.99,20.0,30.0,1.0,0.5,1.0,723.6
4.85,5.0,30.0,1.0,0.5,1.0,660.2
9.96,10.0,365.0,1.0,0.5,1.0,679.3
26.32,50.0,90.0,2.0,0.5,1.0,1303.8
49.91,50.0,180.0,1.0,0.5,1.0,708.6
4.99,5.0,7.0,1.0,0.5,1.0,959.3
9.17,10.0,90.0,1.0,0.5,1.0,939.0
15.38,20.0,30.0,1.0,0.5,1.0,1213.9
19.93,20.0,365.0,1.0,0.5,1.0,625.7
0.45,100.0,365.0,2.0,0.5,1.0,776.6
1.82,100.0,90.0,2.0,0.5,1.0,1030.0
9.99,10.0,90.0,1.0,0.5,1.0,749.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,998.2
73.26,100.0,365.0,1.0,0.5,1.0,1612.4
0.91,50.0,90.0,2.0,0.5,1.0,1055.3
19.419999999999998,20.0,30.0,1.0,0.5,1.0,689.9
19.23,100.0,7.0,1.0,0.5,1.0,787.1
49.96,50.0,90.0,1.0,0.5,1.0,1525.2
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1645.9
0.96,5.0,7.0,2.0,0.5,1.0,1191.4
49.99,50.0,7.0,1.0,0.5,1.0,774.3
4.59,5.0,90.0,1.0,0.5,1.0,774.5
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1012.7
21.51,100.0,365.0,2.0,0.5,1.0,1263.1
38.46,50.0,30.0,2.0,0.5,1.0,1167.8
0.23,50.0,365.0,2.0,0.5,1.0,895.4
52.63,100.0,90.0,2.0,0.5,1.0,1117.1
0.53,10.0,30.0,2.0,0.5,1.0,898.5
5.26,100.0,30.0,2.0,0.5,1.0,998.2
99.97,100.0,30.0,1.0,0.5,1.0,774.5
0.36,20.0,90.0,2.0,0.5,1.0,656.0
99.3,100.0,7.0,1.0,0.5,1.0,643.5
4.99,5.0,30.0,1.0,0.5,1.0,920.5
0.09,10.0,180.0,2.0,0.5,1.0,935.5
4.3,20.0,365.0,2.0,0.5,1.0,913.2
10.53,20.0,90.0,1.0,0.5,1.0,871.6
9.99,10.0,30.0,1.0,0.5,1.0,613.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,689.7
76.92,100.0,30.0,2.0,0.5,1.0,1196.8
0.92,100.0,180.0,2.0,0.5,1.0,1139.6
4.99,5.0,90.0,1.0,0.5,1.0,1098.7
17.86,50.0,180.0,2.0,0.5,1.0,1207.4
