0,1,2,3,4,5,6
0.18,10.0,90.0,2.0,0.5,1.0,1773.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1936.8
0.45,100.0,365.0,2.0,0.5,1.0,3165.0
19.99,20.0,30.0,1.0,0.5,1.0,1531.5
26.32,50.0,90.0,1.0,0.5,1.0,2476.3
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1228.1
9.99,10.0,30.0,1.0,0.5,1.0,1856.0
4.3,20.0,365.0,1.0,0.5,1.0,2398.6
9.99,10.0,7.0,1.0,0.5,1.0,2831.4
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2205.7
4.59,5.0,90.0,1.0,0.5,1.0,1513.4
97.09,100.0,30.0,1.0,0.5,1.0,1692.2
0.91,50.0,90.0,2.0,0.5,1.0,2129.6
2.15,10.0,365.0,1.0,0.5,1.0,1806.9
0.05,5.0,180.0,2.0,0.5,1.0,3437.7
0.46,50.0,180.0,2.0,0.5,1.0,4272.6
19.86,20.0,7.0,1.0,0.5,1.0,1219.7
76.92,100.0,30.0,1.0,0.5,1.0,1680.4
7.14,20.0,180.0,1.0,0.5,1.0,1755.2
10.53,20.0,90.0,1.0,0.5,1.0,2243.3
5.26,10.0,90.0,1.0,0.5,1.0,1941.5
14.65,20.0,365.0,1.0,0.5,1.0,1243.5
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1868.3
38.46,50.0,30.0,1.0,0.5,1.0,1279.7
19.23,100.0,7.0,2.0,0.5,1.0,2580.8
3.66,5.0,365.0,1.0,0.5,1.0,1420.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1478.9
0.36,20.0,90.0,2.0,0.5,1.0,1897.7
1.79,5.0,180.0,1.0,0.5,1.0,1317.4
5.26,100.0,30.0,2.0,0.5,1.0,2043.0
73.26,100.0,365.0,1.0,0.5,1.0,1279.1
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1412.9
4.67,5.0,7.0,1.0,0.5,1.0,1716.0
9.99,10.0,90.0,1.0,0.5,1.0,1140.8
0.09,5.0,90.0,2.0,0.5,1.0,1381.6
15.38,20.0,30.0,1.0,0.5,1.0,1086.5
9.62,50.0,7.0,2.0,0.5,1.0,1460.5
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1181.7
49.91,50.0,180.0,1.0,0.5,1.0,1069.2
49.99,50.0,30.0,1.0,0.5,1.0,1530.7
4.98,5.0,365.0,1.0,0.5,1.0,1679.2
99.97,100.0,30.0,1.0,0.5,1.0,1000.3
4.85,5.0,30.0,1.0,0.5,1.0,1549.4
0.26,5.0,30.0,2.0,0.5,1.0,1415.2
3.57,10.0,180.0,1.0,0.5,1.0,2204.7
18.35,20.0,90.0,1.0,0.5,1.0,1494.0
1.05,20.0,30.0,2.0,0.5,1.0,2174.7
4.99,5.0,30.0,1.0,0.5,1.0,1071.2
2.63,5.0,90.0,1.0,0.5,1.0,1705.7
99.82,100.0,180.0,1.0,0.5,1.0,1759.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1365.4
9.93,10.0,7.0,1.0,0.5,1.0,1378.7
19.93,20.0,365.0,1.0,0.5,1.0,1683.6
0.53,10.0,30.0,2.0,0.5,1.0,1503.7
99.91000000000001,100.0,90.0,1.0,0.5,1.0,865.7
18.69,20.0,7.0,1.0,0.5,1.0,1692.4
0.23,50.0,365.0,2.0,0.5,1.0,2039.7
35.71,100.0,180.0,1.0,0.5,1.0,6057.2
16.95,20.0,180.0,1.0,0.5,1.0,1413.1
7.33,10.0,365.0,1.0,0.5,1.0,1657.0
0.02,5.0,365.0,2.0,0.5,1.0,1220.7
9.98,10.0,180.0,1.0,0.5,1.0,1228.6
49.99,50.0,7.0,1.0,0.5,1.0,1674.5
49.82,50.0,365.0,1.0,0.5,1.0,1124.4
99.3,100.0,7.0,1.0,0.5,1.0,1175.1
0.09,20.0,365.0,2.0,0.5,1.0,1217.4
1.08,5.0,365.0,1.0,0.5,1.0,1284.5
17.86,50.0,180.0,1.0,0.5,1.0,1812.8
21.51,100.0,365.0,1.0,0.5,1.0,2000.9
10.75,50.0,365.0,1.0,0.5,1.0,1743.0
4.99,5.0,180.0,1.0,0.5,1.0,1106.3
99.64,100.0,365.0,1.0,0.5,1.0,1005.8
52.63,100.0,90.0,1.0,0.5,1.0,1075.9
0.96,5.0,7.0,2.0,0.5,1.0,2499.8
2.63,50.0,30.0,2.0,0.5,1.0,1716.9
42.37,50.0,180.0,1.0,0.5,1.0,974.2
48.54,50.0,30.0,1.0,0.5,1.0,1671.7
1.82,100.0,90.0,2.0,0.5,1.0,1568.1
0.92,100.0,180.0,2.0,0.5,1.0,1465.4
46.730000000000004,50.0,7.0,1.0,0.5,1.0,868.9
19.99,20.0,7.0,1.0,0.5,1.0,1219.8
49.96,50.0,90.0,1.0,0.5,1.0,980.6
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1591.9
0.09,10.0,180.0,2.0,0.5,1.0,1715.8
0.05,10.0,365.0,2.0,0.5,1.0,3404.1
19.959999999999997,20.0,180.0,1.0,0.5,1.0,909.2
4.24,5.0,180.0,1.0,0.5,1.0,1668.7
1.92,10.0,7.0,2.0,0.5,1.0,1730.0
49.65,50.0,7.0,1.0,0.5,1.0,1418.0
8.47,10.0,180.0,1.0,0.5,1.0,1699.8
4.99,5.0,7.0,1.0,0.5,1.0,1358.9
9.17,10.0,90.0,1.0,0.5,1.0,1074.2
45.87,50.0,90.0,1.0,0.5,1.0,1210.8
0.18,20.0,180.0,1.0,0.5,1.0,1866.9
36.63,50.0,365.0,1.0,0.5,1.0,1665.8
9.96,10.0,365.0,1.0,0.5,1.0,1548.4
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1190.7
4.99,5.0,90.0,1.0,0.5,1.0,1570.2
84.75,100.0,180.0,1.0,0.5,1.0,1624.2
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1391.4
