0,1,2,3,4,5,6
0.36,20.0,90.0,2.0,0.5,1.0,2805.7
91.74000000000001,100.0,90.0,1.0,0.5,1.0,5793.2
18.69,20.0,7.0,2.0,0.5,1.0,4359.1
9.99,10.0,7.0,1.0,0.5,1.0,5659.4
0.09,10.0,180.0,2.0,0.5,1.0,3424.5
0.18,10.0,90.0,2.0,0.5,1.0,5396.2
4.67,5.0,7.0,2.0,0.5,1.0,2959.8
16.95,20.0,180.0,1.0,0.5,1.0,2053.0
99.99000000000001,100.0,7.0,2.0,0.5,1.0,3140.9
42.37,50.0,180.0,2.0,0.5,1.0,3004.0
19.93,20.0,365.0,1.0,0.5,1.0,2445.0
0.96,5.0,7.0,2.0,0.5,1.0,1577.3
9.350000000000001,10.0,7.0,2.0,0.5,1.0,3707.8
0.53,10.0,30.0,2.0,0.5,1.0,1265.5
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,3623.5
0.26,5.0,30.0,2.0,0.5,1.0,2125.2
21.51,100.0,365.0,2.0,0.5,1.0,3956.5
19.979999999999997,20.0,90.0,1.0,0.5,1.0,4409.0
97.09,100.0,30.0,2.0,0.5,1.0,2093.4
93.46000000000001,100.0,7.0,2.0,0.5,1.0,1711.1
19.23,100.0,7.0,2.0,0.5,1.0,2640.3
0.91,50.0,90.0,2.0,0.5,1.0,2620.1
8.47,10.0,180.0,1.0,0.5,1.0,2987.2
14.65,20.0,365.0,1.0,0.5,1.0,2454.2
99.3,100.0,7.0,2.0,0.5,1.0,3450.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,3665.1
9.17,10.0,90.0,1.0,0.5,1.0,3388.6
49.96,50.0,90.0,1.0,0.5,1.0,3861.6
5.26,100.0,30.0,2.0,0.5,1.0,4077.5
17.86,50.0,180.0,2.0,0.5,1.0,6568.5
26.32,50.0,90.0,2.0,0.5,1.0,3312.0
49.99,50.0,30.0,1.0,0.5,1.0,3330.0
4.98,5.0,365.0,1.0,0.5,1.0,2119.9
19.99,20.0,30.0,1.0,0.5,1.0,2665.7
99.64,100.0,365.0,1.0,0.5,1.0,2172.5
4.99,5.0,30.0,1.0,0.5,1.0,2806.3
1.82,100.0,90.0,2.0,0.5,1.0,1971.5
9.98,10.0,180.0,1.0,0.5,1.0,1828.2
0.46,50.0,180.0,2.0,0.5,1.0,2729.5
48.54,50.0,30.0,2.0,0.5,1.0,1830.5
4.99,5.0,7.0,2.0,0.5,1.0,1660.2
4.59,5.0,90.0,1.0,0.5,1.0,3871.0
4.3,20.0,365.0,2.0,0.5,1.0,2084.7
15.38,20.0,30.0,2.0,0.5,1.0,6807.0
9.93,10.0,7.0,2.0,0.5,1.0,1759.7
0.09,20.0,365.0,2.0,0.5,1.0,1750.2
0.05,5.0,180.0,1.0,0.5,1.0,2172.1
0.09,5.0,90.0,2.0,0.5,1.0,2665.4
0.23,50.0,365.0,2.0,0.5,1.0,1901.0
45.87,50.0,90.0,1.0,0.5,1.0,3906.3
49.65,50.0,7.0,2.0,0.5,1.0,3986.1
18.35,20.0,90.0,1.0,0.5,1.0,2117.3
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2445.7
4.24,5.0,180.0,1.0,0.5,1.0,1838.7
36.63,50.0,365.0,1.0,0.5,1.0,2158.4
1.08,5.0,365.0,1.0,0.5,1.0,1611.4
4.970000000000001,5.0,7.0,1.0,0.5,1.0,3477.0
9.96,10.0,365.0,1.0,0.5,1.0,2200.3
7.14,20.0,180.0,2.0,0.5,1.0,1718.5
84.75,100.0,180.0,1.0,0.5,1.0,1818.5
9.99,10.0,30.0,1.0,0.5,1.0,3419.4
4.99,5.0,180.0,1.0,0.5,1.0,2613.3
4.85,5.0,30.0,2.0,0.5,1.0,2370.5
0.92,100.0,180.0,2.0,0.5,1.0,1520.0
49.99,50.0,7.0,1.0,0.5,1.0,2358.5
