0,1,2,3,4,5,6
99.3,100.0,7.0,2.0,0.5,1.0,4279.3
4.99,5.0,7.0,1.0,0.5,1.0,3893.1
9.17,10.0,90.0,1.0,0.5,1.0,6324.7
4.99,5.0,180.0,1.0,0.5,1.0,2316.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2420.8
0.05,5.0,180.0,2.0,0.5,1.0,2532.6
49.65,50.0,7.0,1.0,0.5,1.0,2501.3
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,3358.1
36.63,50.0,365.0,2.0,0.5,1.0,6434.7
19.86,20.0,7.0,1.0,0.5,1.0,2116.0
0.91,50.0,90.0,2.0,0.5,1.0,2452.6
0.05,10.0,365.0,2.0,0.5,1.0,2100.6
45.87,50.0,90.0,2.0,0.5,1.0,5572.2
18.69,20.0,7.0,2.0,0.5,1.0,2845.5
0.18,10.0,90.0,2.0,0.5,1.0,1949.0
4.98,5.0,365.0,1.0,0.5,1.0,1981.2
2.63,5.0,90.0,2.0,0.5,1.0,2325.0
97.09,100.0,30.0,2.0,0.5,1.0,3218.9
3.66,5.0,365.0,1.0,0.5,1.0,3780.1
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2592.2
49.82,50.0,365.0,1.0,0.5,1.0,2652.7
7.33,10.0,365.0,1.0,0.5,1.0,3228.9
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2740.7
9.99,10.0,90.0,1.0,0.5,1.0,1987.9
15.38,20.0,30.0,2.0,0.5,1.0,2261.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,2172.3
10.53,20.0,90.0,2.0,0.5,1.0,2099.0
4.24,5.0,180.0,1.0,0.5,1.0,3557.1
99.64,100.0,365.0,1.0,0.5,1.0,2333.3
0.09,20.0,365.0,2.0,0.5,1.0,2860.9
9.98,10.0,180.0,1.0,0.5,1.0,2628.6
0.26,5.0,30.0,2.0,0.5,1.0,2214.9
0.02,5.0,365.0,2.0,0.5,1.0,2814.4
0.92,100.0,180.0,2.0,0.5,1.0,2196.9
49.91,50.0,180.0,1.0,0.5,1.0,2132.4
26.32,50.0,90.0,2.0,0.5,1.0,2605.6
16.95,20.0,180.0,1.0,0.5,1.0,4309.1
0.96,5.0,7.0,2.0,0.5,1.0,2012.2
2.63,50.0,30.0,2.0,0.5,1.0,2324.4
49.99,50.0,7.0,1.0,0.5,1.0,2124.2
3.57,10.0,180.0,2.0,0.5,1.0,2579.6
4.85,5.0,30.0,1.0,0.5,1.0,2196.0
9.99,10.0,30.0,1.0,0.5,1.0,1806.1
9.96,10.0,365.0,1.0,0.5,1.0,1994.9
76.92,100.0,30.0,2.0,0.5,1.0,2219.8
1.05,20.0,30.0,2.0,0.5,1.0,1877.9
84.75,100.0,180.0,2.0,0.5,1.0,3100.8
4.3,20.0,365.0,2.0,0.5,1.0,2697.3
48.54,50.0,30.0,2.0,0.5,1.0,2733.3
9.93,10.0,7.0,1.0,0.5,1.0,2421.1
0.18,20.0,180.0,2.0,0.5,1.0,1999.9
18.35,20.0,90.0,2.0,0.5,1.0,4244.7
9.62,50.0,7.0,2.0,0.5,1.0,2173.3
17.86,50.0,180.0,2.0,0.5,1.0,1645.2
9.709999999999999,10.0,30.0,1.0,0.5,1.0,3580.4
19.99,20.0,7.0,1.0,0.5,1.0,2100.5
0.53,10.0,30.0,2.0,0.5,1.0,1801.4
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2138.6
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2341.2
7.14,20.0,180.0,2.0,0.5,1.0,2877.2
5.26,10.0,90.0,2.0,0.5,1.0,1831.5
73.26,100.0,365.0,2.0,0.5,1.0,1948.0
2.15,10.0,365.0,2.0,0.5,1.0,1909.7
1.82,100.0,90.0,2.0,0.5,1.0,1790.1
99.82,100.0,180.0,1.0,0.5,1.0,2163.6
4.99,5.0,90.0,1.0,0.5,1.0,1971.3
91.74000000000001,100.0,90.0,2.0,0.5,1.0,2333.1
52.63,100.0,90.0,2.0,0.5,1.0,1932.2
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1932.0
1.79,5.0,180.0,2.0,0.5,1.0,2147.1
