0,1,2,3,4,5,6
0.05,10.0,365.0,2.0,0.5,1.0,2369.2
9.96,10.0,365.0,1.0,0.5,1.0,1921.1
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1757.9
52.63,100.0,90.0,2.0,0.5,1.0,2145.4
35.71,100.0,180.0,2.0,0.5,1.0,1756.7
38.46,50.0,30.0,2.0,0.5,1.0,3463.6
4.85,5.0,30.0,1.0,0.5,1.0,1648.6
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2266.6
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1860.8
0.09,10.0,180.0,2.0,0.5,1.0,2007.4
18.35,20.0,90.0,1.0,0.5,1.0,1874.1
0.92,100.0,180.0,2.0,0.5,1.0,1786.1
0.53,10.0,30.0,2.0,0.5,1.0,1786.3
19.93,20.0,365.0,1.0,0.5,1.0,1558.2
3.57,10.0,180.0,2.0,0.5,1.0,3993.8
0.91,50.0,90.0,2.0,0.5,1.0,1877.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1247.0
5.26,100.0,30.0,2.0,0.5,1.0,1996.5
49.99,50.0,7.0,1.0,0.5,1.0,1590.9
99.64,100.0,365.0,1.0,0.5,1.0,1562.6
2.63,5.0,90.0,1.0,0.5,1.0,3169.1
9.99,10.0,7.0,1.0,0.5,1.0,2022.2
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1470.3
36.63,50.0,365.0,1.0,0.5,1.0,2102.6
17.86,50.0,180.0,2.0,0.5,1.0,4412.6
14.65,20.0,365.0,1.0,0.5,1.0,1275.8
84.75,100.0,180.0,1.0,0.5,1.0,2324.4
19.99,20.0,30.0,1.0,0.5,1.0,1561.0
99.82,100.0,180.0,1.0,0.5,1.0,1321.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1460.3
2.63,50.0,30.0,2.0,0.5,1.0,2008.3
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2294.7
49.96,50.0,90.0,1.0,0.5,1.0,1438.6
0.96,5.0,7.0,2.0,0.5,1.0,2326.2
18.69,20.0,7.0,1.0,0.5,1.0,1968.0
7.14,20.0,180.0,1.0,0.5,1.0,3763.2
10.53,20.0,90.0,1.0,0.5,1.0,2628.7
9.98,10.0,180.0,1.0,0.5,1.0,1770.5
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1516.8
0.36,20.0,90.0,2.0,0.5,1.0,2193.0
49.99,50.0,30.0,1.0,0.5,1.0,2159.8
49.65,50.0,7.0,1.0,0.5,1.0,1968.3
4.99,5.0,180.0,1.0,0.5,1.0,1876.1
26.32,50.0,90.0,1.0,0.5,1.0,4366.5
73.26,100.0,365.0,1.0,0.5,1.0,1458.3
8.47,10.0,180.0,1.0,0.5,1.0,2227.1
99.3,100.0,7.0,1.0,0.5,1.0,1179.3
48.54,50.0,30.0,1.0,0.5,1.0,1738.0
19.86,20.0,7.0,1.0,0.5,1.0,1308.1
0.05,5.0,180.0,2.0,0.5,1.0,1953.2
4.99,5.0,90.0,1.0,0.5,1.0,1437.9
0.23,50.0,365.0,2.0,0.5,1.0,1429.7
76.92,100.0,30.0,1.0,0.5,1.0,3231.0
99.97,100.0,30.0,1.0,0.5,1.0,1645.9
9.99,10.0,90.0,1.0,0.5,1.0,1171.9
9.93,10.0,7.0,1.0,0.5,1.0,1126.7
49.91,50.0,180.0,1.0,0.5,1.0,1354.7
2.15,10.0,365.0,1.0,0.5,1.0,4455.8
0.09,5.0,90.0,2.0,0.5,1.0,2296.3
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1411.4
0.18,20.0,180.0,2.0,0.5,1.0,1410.0
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,2058.1
9.99,10.0,30.0,1.0,0.5,1.0,1333.1
21.51,100.0,365.0,2.0,0.5,1.0,2839.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1158.4
1.92,10.0,7.0,2.0,0.5,1.0,2343.2
42.37,50.0,180.0,1.0,0.5,1.0,1739.9
16.95,20.0,180.0,1.0,0.5,1.0,1693.3
0.45,100.0,365.0,2.0,0.5,1.0,1801.4
0.09,20.0,365.0,2.0,0.5,1.0,1563.5
97.09,100.0,30.0,1.0,0.5,1.0,1116.7
0.02,5.0,365.0,2.0,0.5,1.0,1277.0
0.18,10.0,90.0,2.0,0.5,1.0,1065.3
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1063.1
4.99,5.0,30.0,1.0,0.5,1.0,1066.9
19.99,20.0,7.0,1.0,0.5,1.0,795.5
49.82,50.0,365.0,1.0,0.5,1.0,916.2999997000001
15.38,20.0,30.0,1.0,0.5,1.0,2655.7
45.87,50.0,90.0,1.0,0.5,1.0,1153.2
7.33,10.0,365.0,1.0,0.5,1.0,1546.5
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1216.3
4.24,5.0,180.0,1.0,0.5,1.0,1897.6
9.17,10.0,90.0,1.0,0.5,1.0,847.1000004
4.59,5.0,90.0,1.0,0.5,1.0,1158.9
5.26,10.0,90.0,1.0,0.5,1.0,4469.1
1.82,100.0,90.0,2.0,0.5,1.0,1348.7
10.75,50.0,365.0,2.0,0.5,1.0,3545.1
1.08,5.0,365.0,2.0,0.5,1.0,5234.7
0.46,50.0,180.0,2.0,0.5,1.0,1921.6
4.98,5.0,365.0,1.0,0.5,1.0,1365.7
4.3,20.0,365.0,2.0,0.5,1.0,3647.2
3.66,5.0,365.0,1.0,0.5,1.0,1233.1
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1107.8
1.79,5.0,180.0,2.0,0.5,1.0,3225.5
1.05,20.0,30.0,2.0,0.5,1.0,1920.4
9.62,50.0,7.0,2.0,0.5,1.0,1862.6
0.26,5.0,30.0,2.0,0.5,1.0,1783.7
4.67,5.0,7.0,1.0,0.5,1.0,1337.8
4.99,5.0,7.0,1.0,0.5,1.0,1414.3
19.23,100.0,7.0,2.0,0.5,1.0,1934.2
