0,1,2,3,4,5,6
99.64,100.0,365.0,1.0,0.5,1.0,2066.9
9.93,10.0,7.0,1.0,0.5,1.0,1761.4
0.09,5.0,90.0,2.0,0.5,1.0,2013.3
0.45,100.0,365.0,2.0,0.5,1.0,1172.7
0.91,50.0,90.0,2.0,0.5,1.0,1111.7
36.63,50.0,365.0,1.0,0.5,1.0,1584.2
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2135.0
4.3,20.0,365.0,2.0,0.5,1.0,2248.6
49.99,50.0,7.0,1.0,0.5,1.0,1409.5
10.75,50.0,365.0,2.0,0.5,1.0,1182.5
0.18,10.0,90.0,2.0,0.5,1.0,1021.0
0.05,5.0,180.0,2.0,0.5,1.0,1661.6
9.99,10.0,7.0,1.0,0.5,1.0,1443.6
38.46,50.0,30.0,2.0,0.5,1.0,967.7
17.86,50.0,180.0,2.0,0.5,1.0,1160.9
45.87,50.0,90.0,2.0,0.5,1.0,1327.5
73.26,100.0,365.0,2.0,0.5,1.0,1023.8
0.96,5.0,7.0,2.0,0.5,1.0,917.7
0.18,20.0,180.0,2.0,0.5,1.0,772.3
19.93,20.0,365.0,1.0,0.5,1.0,1350.9
4.99,5.0,30.0,1.0,0.5,1.0,1296.8
3.66,5.0,365.0,2.0,0.5,1.0,953.4
8.47,10.0,180.0,1.0,0.5,1.0,1419.7
14.65,20.0,365.0,2.0,0.5,1.0,1588.8
18.35,20.0,90.0,1.0,0.5,1.0,1175.9
0.09,20.0,365.0,2.0,0.5,1.0,989.0
0.02,5.0,365.0,2.0,0.5,1.0,698.9
4.24,5.0,180.0,1.0,0.5,1.0,1321.8
15.38,20.0,30.0,2.0,0.5,1.0,1134.5
4.85,5.0,30.0,1.0,0.5,1.0,1285.0
49.91,50.0,180.0,1.0,0.5,1.0,1311.3
0.36,20.0,90.0,2.0,0.5,1.0,1004.6
84.75,100.0,180.0,2.0,0.5,1.0,1258.2
4.59,5.0,90.0,1.0,0.5,1.0,2334.6
9.98,10.0,180.0,1.0,0.5,1.0,1158.6
9.62,50.0,7.0,2.0,0.5,1.0,1041.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,917.1
0.92,100.0,180.0,2.0,0.5,1.0,802.7
0.26,5.0,30.0,2.0,0.5,1.0,1049.2
0.23,50.0,365.0,2.0,0.5,1.0,813.7
26.32,50.0,90.0,2.0,0.5,1.0,964.0
99.3,100.0,7.0,1.0,0.5,1.0,1096.0
2.63,5.0,90.0,2.0,0.5,1.0,1122.9
19.419999999999998,20.0,30.0,2.0,0.5,1.0,1176.3
49.99,50.0,30.0,1.0,0.5,1.0,1108.0
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1138.5
48.54,50.0,30.0,1.0,0.5,1.0,978.2
18.69,20.0,7.0,1.0,0.5,1.0,1337.7
9.96,10.0,365.0,1.0,0.5,1.0,1064.4
0.46,50.0,180.0,2.0,0.5,1.0,1058.8
19.99,20.0,30.0,1.0,0.5,1.0,2615.4
4.67,5.0,7.0,1.0,0.5,1.0,1200.5
1.08,5.0,365.0,2.0,0.5,1.0,1000.7
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1338.8
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1164.3
9.17,10.0,90.0,1.0,0.5,1.0,1051.8
99.97,100.0,30.0,1.0,0.5,1.0,1041.7
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2025.3
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1321.0
1.92,10.0,7.0,2.0,0.5,1.0,800.8
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1007.1
7.33,10.0,365.0,1.0,0.5,1.0,1445.0
19.86,20.0,7.0,1.0,0.5,1.0,1660.4
76.92,100.0,30.0,2.0,0.5,1.0,996.8
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1611.2
9.99,10.0,90.0,2.0,0.5,1.0,837.9
4.99,5.0,90.0,1.0,0.5,1.0,2317.3
3.57,10.0,180.0,2.0,0.5,1.0,2585.9
4.98,5.0,365.0,1.0,0.5,1.0,1150.8
2.15,10.0,365.0,2.0,0.5,1.0,1553.8
52.63,100.0,90.0,2.0,0.5,1.0,1227.1
35.71,100.0,180.0,2.0,0.5,1.0,1222.8
42.37,50.0,180.0,1.0,0.5,1.0,1512.3
99.82,100.0,180.0,1.0,0.5,1.0,1238.8
4.99,5.0,7.0,1.0,0.5,1.0,937.7
9.99,10.0,30.0,2.0,0.5,1.0,1906.8
1.79,5.0,180.0,2.0,0.5,1.0,3710.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1723.9
97.09,100.0,30.0,1.0,0.5,1.0,1308.7
5.26,100.0,30.0,2.0,0.5,1.0,1330.8
16.95,20.0,180.0,1.0,0.5,1.0,1713.7
0.53,10.0,30.0,2.0,0.5,1.0,2215.9
21.51,100.0,365.0,2.0,0.5,1.0,1135.0
49.82,50.0,365.0,1.0,0.5,1.0,1245.0
4.99,5.0,180.0,1.0,0.5,1.0,1267.7
49.96,50.0,90.0,1.0,0.5,1.0,1856.1
5.26,10.0,90.0,1.0,0.5,1.0,1615.0
49.65,50.0,7.0,1.0,0.5,1.0,1155.9
2.63,50.0,30.0,2.0,0.5,1.0,899.8
7.14,20.0,180.0,2.0,0.5,1.0,3206.2
19.23,100.0,7.0,2.0,0.5,1.0,1381.3
0.09,10.0,180.0,2.0,0.5,1.0,1044.9
10.53,20.0,90.0,2.0,0.5,1.0,1331.4
0.05,10.0,365.0,2.0,0.5,1.0,1007.7
19.99,20.0,7.0,1.0,0.5,1.0,1111.1
1.05,20.0,30.0,2.0,0.5,1.0,1079.6
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1781.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1830.2
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2362.0
1.82,100.0,90.0,2.0,0.5,1.0,1702.1
