0,1,2,3,4,5,6
9.350000000000001,10.0,7.0,1.0,0.5,1.0,3166.8
18.35,20.0,90.0,1.0,0.5,1.0,2441.6
4.98,5.0,365.0,1.0,0.5,1.0,1921.9
16.95,20.0,180.0,1.0,0.5,1.0,2784.1
0.05,5.0,180.0,2.0,0.5,1.0,2544.9
0.09,20.0,365.0,2.0,0.5,1.0,2422.2
10.75,50.0,365.0,2.0,0.5,1.0,2176.2
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2303.0
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2647.0
10.53,20.0,90.0,2.0,0.5,1.0,2530.4
9.99,10.0,7.0,1.0,0.5,1.0,2457.8
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1919.5
99.82,100.0,180.0,1.0,0.5,1.0,2097.8
38.46,50.0,30.0,2.0,0.5,1.0,2399.4
0.53,10.0,30.0,2.0,0.5,1.0,1482.8
3.57,10.0,180.0,2.0,0.5,1.0,2177.7
0.02,5.0,365.0,2.0,0.5,1.0,1752.7
15.38,20.0,30.0,2.0,0.5,1.0,5288.9
3.66,5.0,365.0,1.0,0.5,1.0,3504.4
0.09,5.0,90.0,2.0,0.5,1.0,1431.5
9.93,10.0,7.0,1.0,0.5,1.0,1503.9
42.37,50.0,180.0,1.0,0.5,1.0,3578.1
45.87,50.0,90.0,1.0,0.5,1.0,2007.9
2.15,10.0,365.0,2.0,0.5,1.0,1360.8
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2021.4
9.17,10.0,90.0,1.0,0.5,1.0,2478.7
0.45,100.0,365.0,2.0,0.5,1.0,1521.2
99.3,100.0,7.0,1.0,0.5,1.0,1983.8
0.92,100.0,180.0,2.0,0.5,1.0,1774.6
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1353.9
4.99,5.0,7.0,1.0,0.5,1.0,1242.7
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,4523.1
0.23,50.0,365.0,2.0,0.5,1.0,1153.0
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1640.1
0.46,50.0,180.0,2.0,0.5,1.0,2111.9
2.63,50.0,30.0,2.0,0.5,1.0,1396.2
49.99,50.0,7.0,1.0,0.5,1.0,1560.2
49.99,50.0,30.0,1.0,0.5,1.0,2199.3
49.96,50.0,90.0,1.0,0.5,1.0,2136.1
19.99,20.0,30.0,1.0,0.5,1.0,1808.6
97.09,100.0,30.0,1.0,0.5,1.0,2369.0
49.91,50.0,180.0,1.0,0.5,1.0,2174.9
18.69,20.0,7.0,2.0,0.5,1.0,3953.2
2.63,5.0,90.0,2.0,0.5,1.0,1319.0
1.82,100.0,90.0,2.0,0.5,1.0,1913.5
5.26,10.0,90.0,2.0,0.5,1.0,3224.5
4.99,5.0,180.0,1.0,0.5,1.0,2255.5
0.96,5.0,7.0,2.0,0.5,1.0,1367.7
19.93,20.0,365.0,1.0,0.5,1.0,1600.6
49.82,50.0,365.0,1.0,0.5,1.0,1480.7
17.86,50.0,180.0,2.0,0.5,1.0,1362.9
73.26,100.0,365.0,2.0,0.5,1.0,3343.2
0.09,10.0,180.0,2.0,0.5,1.0,1482.0
26.32,50.0,90.0,2.0,0.5,1.0,1447.1
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2098.2
0.18,20.0,180.0,2.0,0.5,1.0,1411.9
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2392.0
1.05,20.0,30.0,2.0,0.5,1.0,1161.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1672.4
1.08,5.0,365.0,2.0,0.5,1.0,1270.7
36.63,50.0,365.0,2.0,0.5,1.0,1792.4
84.75,100.0,180.0,2.0,0.5,1.0,4250.1
9.98,10.0,180.0,1.0,0.5,1.0,1807.2
99.97,100.0,30.0,1.0,0.5,1.0,1536.9
19.86,20.0,7.0,1.0,0.5,1.0,1633.0
4.67,5.0,7.0,2.0,0.5,1.0,2408.1
0.05,10.0,365.0,2.0,0.5,1.0,1215.2
7.14,20.0,180.0,2.0,0.5,1.0,1633.2
21.51,100.0,365.0,2.0,0.5,1.0,1479.3
0.26,5.0,30.0,2.0,0.5,1.0,1281.9
49.65,50.0,7.0,1.0,0.5,1.0,1415.7
0.36,20.0,90.0,2.0,0.5,1.0,1656.6
1.92,10.0,7.0,2.0,0.5,1.0,1169.2
9.99,10.0,90.0,1.0,0.5,1.0,1590.6
0.18,10.0,90.0,2.0,0.5,1.0,2120.2
19.99,20.0,7.0,1.0,0.5,1.0,1537.3
