0,1,2,3,4,5,6
38.46,50.0,30.0,2.0,0.5,1.0,1935.4
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1460.1
17.86,50.0,180.0,2.0,0.5,1.0,2057.5
2.63,5.0,90.0,1.0,0.5,1.0,1961.6
4.59,5.0,90.0,1.0,0.5,1.0,1849.5
9.17,10.0,90.0,1.0,0.5,1.0,1289.9
84.75,100.0,180.0,1.0,0.5,1.0,1849.8
21.51,100.0,365.0,2.0,0.5,1.0,1567.6
99.97,100.0,30.0,1.0,0.5,1.0,1932.6
10.53,20.0,90.0,2.0,0.5,1.0,1812.0
1.79,5.0,180.0,1.0,0.5,1.0,1313.0
49.82,50.0,365.0,1.0,0.5,1.0,1400.7
97.09,100.0,30.0,1.0,0.5,1.0,1155.9
14.65,20.0,365.0,1.0,0.5,1.0,1257.9
49.91,50.0,180.0,1.0,0.5,1.0,977.6
0.09,20.0,365.0,2.0,0.5,1.0,1268.3
49.65,50.0,7.0,2.0,0.5,1.0,1729.6
15.38,20.0,30.0,2.0,0.5,1.0,1735.0
49.96,50.0,90.0,1.0,0.5,1.0,2252.7
9.99,10.0,30.0,1.0,0.5,1.0,1628.8
0.09,5.0,90.0,2.0,0.5,1.0,1479.0
19.86,20.0,7.0,2.0,0.5,1.0,1340.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1079.0
9.98,10.0,180.0,1.0,0.5,1.0,1358.6
4.3,20.0,365.0,2.0,0.5,1.0,1178.2
5.26,10.0,90.0,2.0,0.5,1.0,1770.6
2.63,50.0,30.0,2.0,0.5,1.0,1609.3
36.63,50.0,365.0,2.0,0.5,1.0,1113.5
0.23,50.0,365.0,2.0,0.5,1.0,833.8
18.69,20.0,7.0,2.0,0.5,1.0,1471.0
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1273.5
3.66,5.0,365.0,2.0,0.5,1.0,1369.6
19.93,20.0,365.0,1.0,0.5,1.0,1577.6
4.98,5.0,365.0,1.0,0.5,1.0,1521.2
