0,1,2,3,4,5,6
49.99,50.0,7.0,1.0,0.5,1.0,2585.8
4.85,5.0,30.0,1.0,0.5,1.0,3053.4
42.37,50.0,180.0,2.0,0.5,1.0,3278.4
18.69,20.0,7.0,2.0,0.5,1.0,1770.0
0.53,10.0,30.0,2.0,0.5,1.0,1713.6
76.92,100.0,30.0,2.0,0.5,1.0,1402.4
0.92,100.0,180.0,2.0,0.5,1.0,1201.6
5.26,100.0,30.0,2.0,0.5,1.0,1106.9
97.09,100.0,30.0,1.0,0.5,1.0,2388.9
9.99,10.0,7.0,1.0,0.5,1.0,2572.2
0.05,10.0,365.0,2.0,0.5,1.0,1142.3
0.02,5.0,365.0,2.0,0.5,1.0,1725.6
9.17,10.0,90.0,2.0,0.5,1.0,3080.3
7.33,10.0,365.0,2.0,0.5,1.0,962.6
9.93,10.0,7.0,2.0,0.5,1.0,4177.5
0.45,100.0,365.0,2.0,0.5,1.0,1386.7
2.15,10.0,365.0,2.0,0.5,1.0,1815.7
3.66,5.0,365.0,1.0,0.5,1.0,2480.0
4.24,5.0,180.0,2.0,0.5,1.0,2265.2
19.86,20.0,7.0,2.0,0.5,1.0,3168.5
49.96,50.0,90.0,1.0,0.5,1.0,2651.2
45.87,50.0,90.0,2.0,0.5,1.0,2885.1
99.64,100.0,365.0,1.0,0.5,1.0,2007.9
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1908.7
19.99,20.0,7.0,1.0,0.5,1.0,1523.9
73.26,100.0,365.0,2.0,0.5,1.0,1298.3
2.63,5.0,90.0,2.0,0.5,1.0,1505.1
0.36,20.0,90.0,2.0,0.5,1.0,1627.3
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1615.7
49.91,50.0,180.0,1.0,0.5,1.0,1873.3
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1952.7
36.63,50.0,365.0,2.0,0.5,1.0,1804.7
26.32,50.0,90.0,2.0,0.5,1.0,1180.8
49.65,50.0,7.0,2.0,0.5,1.0,5744.9
4.3,20.0,365.0,2.0,0.5,1.0,1936.8
4.98,5.0,365.0,1.0,0.5,1.0,1601.1
46.730000000000004,50.0,7.0,2.0,0.5,1.0,3929.8
19.23,100.0,7.0,2.0,0.5,1.0,1271.2
0.23,50.0,365.0,2.0,0.5,1.0,1276.7
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2998.0
0.09,5.0,90.0,2.0,0.5,1.0,1323.6
99.82,100.0,180.0,1.0,0.5,1.0,1827.9
3.57,10.0,180.0,2.0,0.5,1.0,1187.5
9.96,10.0,365.0,1.0,0.5,1.0,1671.5
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1480.3
0.18,20.0,180.0,2.0,0.5,1.0,1255.1
1.08,5.0,365.0,2.0,0.5,1.0,1645.4
9.709999999999999,10.0,30.0,2.0,0.5,1.0,2856.8
19.419999999999998,20.0,30.0,2.0,0.5,1.0,2675.1
35.71,100.0,180.0,2.0,0.5,1.0,1331.0
4.99,5.0,7.0,1.0,0.5,1.0,2057.1
21.51,100.0,365.0,2.0,0.5,1.0,1074.9
10.53,20.0,90.0,2.0,0.5,1.0,1041.1
2.63,50.0,30.0,2.0,0.5,1.0,1029.5
1.79,5.0,180.0,2.0,0.5,1.0,953.9
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1641.7
5.26,10.0,90.0,2.0,0.5,1.0,1390.0
1.82,100.0,90.0,2.0,0.5,1.0,1008.1
7.14,20.0,180.0,2.0,0.5,1.0,1206.5
99.3,100.0,7.0,2.0,0.5,1.0,2154.3
0.18,10.0,90.0,2.0,0.5,1.0,1371.6
1.92,10.0,7.0,2.0,0.5,1.0,2055.6
4.59,5.0,90.0,2.0,0.5,1.0,3796.5
19.93,20.0,365.0,1.0,0.5,1.0,1895.1
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2357.1
4.99,5.0,30.0,1.0,0.5,1.0,1470.7
49.82,50.0,365.0,1.0,0.5,1.0,1817.2
19.99,20.0,30.0,1.0,0.5,1.0,2031.1
9.99,10.0,90.0,1.0,0.5,1.0,1871.7
9.62,50.0,7.0,2.0,0.5,1.0,1739.7
4.67,5.0,7.0,2.0,0.5,1.0,2388.2
93.46000000000001,100.0,7.0,2.0,0.5,1.0,1515.8
0.09,10.0,180.0,2.0,0.5,1.0,2030.4
16.95,20.0,180.0,2.0,0.5,1.0,2346.8
38.46,50.0,30.0,2.0,0.5,1.0,1691.8
48.54,50.0,30.0,2.0,0.5,1.0,2436.0
18.35,20.0,90.0,2.0,0.5,1.0,2456.9
99.97,100.0,30.0,1.0,0.5,1.0,2919.4
84.75,100.0,180.0,2.0,0.5,1.0,1895.5
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,1852.1
0.26,5.0,30.0,2.0,0.5,1.0,2200.2
14.65,20.0,365.0,2.0,0.5,1.0,2051.5
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2100.6
15.38,20.0,30.0,2.0,0.5,1.0,1692.0
52.63,100.0,90.0,2.0,0.5,1.0,1290.4
0.09,20.0,365.0,2.0,0.5,1.0,4012.0
17.86,50.0,180.0,2.0,0.5,1.0,2643.8
0.05,5.0,180.0,2.0,0.5,1.0,2792.3
8.47,10.0,180.0,2.0,0.5,1.0,4054.8
0.91,50.0,90.0,2.0,0.5,1.0,1401.2
4.99,5.0,180.0,1.0,0.5,1.0,1680.1
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1514.6
4.99,5.0,90.0,1.0,0.5,1.0,1762.4
0.46,50.0,180.0,2.0,0.5,1.0,1615.0
9.98,10.0,180.0,1.0,0.5,1.0,1457.3
10.75,50.0,365.0,2.0,0.5,1.0,1355.7
0.96,5.0,7.0,2.0,0.5,1.0,1750.5
9.99,10.0,30.0,1.0,0.5,1.0,1972.8
49.99,50.0,30.0,1.0,0.5,1.0,1848.3
1.05,20.0,30.0,2.0,0.5,1.0,1177.8
