0,1,2,3,4,5,6
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,3409.7
4.24,5.0,180.0,2.0,0.5,1.0,3032.1
1.82,100.0,90.0,2.0,0.5,1.0,2134.1
7.14,20.0,180.0,2.0,0.5,1.0,1195.7
9.96,10.0,365.0,1.0,0.5,1.0,3129.9
4.99,5.0,30.0,1.0,0.5,1.0,3819.8
0.09,20.0,365.0,2.0,0.5,1.0,2871.3
99.97,100.0,30.0,1.0,0.5,1.0,2983.1
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1783.2
15.38,20.0,30.0,2.0,0.5,1.0,2264.1
1.08,5.0,365.0,2.0,0.5,1.0,2545.9
49.96,50.0,90.0,1.0,0.5,1.0,2329.1
2.15,10.0,365.0,2.0,0.5,1.0,2874.4
18.69,20.0,7.0,2.0,0.5,1.0,2336.3
0.05,10.0,365.0,2.0,0.5,1.0,2098.0
52.63,100.0,90.0,2.0,0.5,1.0,2415.5
18.35,20.0,90.0,2.0,0.5,1.0,2630.0
99.82,100.0,180.0,1.0,0.5,1.0,4029.0
4.99,5.0,90.0,1.0,0.5,1.0,3044.4
0.46,50.0,180.0,2.0,0.5,1.0,3060.3
19.93,20.0,365.0,1.0,0.5,1.0,3923.5
45.87,50.0,90.0,2.0,0.5,1.0,3856.2
91.74000000000001,100.0,90.0,2.0,0.5,1.0,1783.7
2.63,5.0,90.0,2.0,0.5,1.0,1828.4
9.350000000000001,10.0,7.0,2.0,0.5,1.0,2622.8
7.33,10.0,365.0,1.0,0.5,1.0,3569.0
4.970000000000001,5.0,7.0,2.0,0.5,1.0,2154.9
9.99,10.0,7.0,2.0,0.5,1.0,2567.5
3.66,5.0,365.0,2.0,0.5,1.0,1558.6
99.3,100.0,7.0,2.0,0.5,1.0,3409.4
2.63,50.0,30.0,2.0,0.5,1.0,3476.7
4.98,5.0,365.0,1.0,0.5,1.0,2262.1
4.99,5.0,7.0,2.0,0.5,1.0,2914.7
10.75,50.0,365.0,2.0,0.5,1.0,1616.2
48.54,50.0,30.0,2.0,0.5,1.0,2245.7
10.53,20.0,90.0,2.0,0.5,1.0,2341.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2144.4
9.99,10.0,30.0,1.0,0.5,1.0,5588.4
4.3,20.0,365.0,2.0,0.5,1.0,2174.0
9.709999999999999,10.0,30.0,2.0,0.5,1.0,3400.8
35.71,100.0,180.0,2.0,0.5,1.0,3176.8
0.18,20.0,180.0,2.0,0.5,1.0,1702.2
49.99,50.0,30.0,1.0,0.5,1.0,2603.3
0.91,50.0,90.0,2.0,0.5,1.0,2154.2
26.32,50.0,90.0,2.0,0.5,1.0,4611.9
9.17,10.0,90.0,2.0,0.5,1.0,2480.7
99.99000000000001,100.0,7.0,2.0,0.5,1.0,2805.9
0.53,10.0,30.0,2.0,0.5,1.0,1923.5
0.26,5.0,30.0,2.0,0.5,1.0,1750.6
3.57,10.0,180.0,2.0,0.5,1.0,1432.6
36.63,50.0,365.0,2.0,0.5,1.0,1465.2
19.979999999999997,20.0,90.0,1.0,0.5,1.0,2739.4
4.99,5.0,180.0,1.0,0.5,1.0,3139.3
