0,1,2,3,4,5,6
4.67,5.0,7.0,1.0,0.5,1.0,2530.5
9.93,10.0,7.0,2.0,0.5,1.0,2604.4
1.08,5.0,365.0,1.0,0.5,1.0,1530.8
19.99,20.0,30.0,2.0,0.5,1.0,2442.0
49.65,50.0,7.0,1.0,0.5,1.0,2050.1
42.37,50.0,180.0,1.0,0.5,1.0,1850.9
19.86,20.0,7.0,2.0,0.5,1.0,3176.3
5.26,10.0,90.0,2.0,0.5,1.0,2990.9
2.63,50.0,30.0,2.0,0.5,1.0,2103.2
0.18,20.0,180.0,2.0,0.5,1.0,2287.5
0.05,10.0,365.0,2.0,0.5,1.0,2285.0
4.59,5.0,90.0,1.0,0.5,1.0,1707.0
7.14,20.0,180.0,2.0,0.5,1.0,1415.2
48.54,50.0,30.0,1.0,0.5,1.0,2136.6
7.33,10.0,365.0,1.0,0.5,1.0,1629.7
19.93,20.0,365.0,1.0,0.5,1.0,1788.3
76.92,100.0,30.0,2.0,0.5,1.0,1729.4
1.82,100.0,90.0,2.0,0.5,1.0,1211.5
35.71,100.0,180.0,2.0,0.5,1.0,938.0
0.46,50.0,180.0,2.0,0.5,1.0,1152.0
99.64,100.0,365.0,1.0,0.5,1.0,870.5
0.36,20.0,90.0,2.0,0.5,1.0,972.0
19.99,20.0,7.0,1.0,0.5,1.0,940.5
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1368.0
99.3,100.0,7.0,1.0,0.5,1.0,1258.2
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1288.4
2.15,10.0,365.0,2.0,0.5,1.0,1477.1
9.98,10.0,180.0,1.0,0.5,1.0,1318.2
21.51,100.0,365.0,2.0,0.5,1.0,1326.2
0.26,5.0,30.0,2.0,0.5,1.0,1406.8
49.82,50.0,365.0,1.0,0.5,1.0,1196.7
49.96,50.0,90.0,1.0,0.5,1.0,966.2
9.62,50.0,7.0,2.0,0.5,1.0,1197.9
10.75,50.0,365.0,2.0,0.5,1.0,1259.2
0.02,5.0,365.0,2.0,0.5,1.0,1016.9
0.09,10.0,180.0,2.0,0.5,1.0,1778.6
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,1425.1
2.63,5.0,90.0,2.0,0.5,1.0,1297.7
0.92,100.0,180.0,2.0,0.5,1.0,1252.5
97.09,100.0,30.0,1.0,0.5,1.0,1106.4
0.23,50.0,365.0,2.0,0.5,1.0,1098.4
0.91,50.0,90.0,2.0,0.5,1.0,896.1
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1074.5
49.91,50.0,180.0,1.0,0.5,1.0,1188.9
3.57,10.0,180.0,2.0,0.5,1.0,1705.2
1.79,5.0,180.0,2.0,0.5,1.0,1019.9
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1318.1
84.75,100.0,180.0,1.0,0.5,1.0,1473.7
49.99,50.0,30.0,1.0,0.5,1.0,2022.2
1.05,20.0,30.0,2.0,0.5,1.0,1024.9
9.96,10.0,365.0,1.0,0.5,1.0,1274.9
18.35,20.0,90.0,1.0,0.5,1.0,1599.8
1.92,10.0,7.0,2.0,0.5,1.0,891.6
18.69,20.0,7.0,1.0,0.5,1.0,1047.4
0.18,10.0,90.0,2.0,0.5,1.0,877.9
19.959999999999997,20.0,180.0,1.0,0.5,1.0,867.4
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1213.3
99.82,100.0,180.0,1.0,0.5,1.0,1083.5
4.85,5.0,30.0,1.0,0.5,1.0,2310.6
49.99,50.0,7.0,1.0,0.5,1.0,1015.8
9.350000000000001,10.0,7.0,1.0,0.5,1.0,969.3
45.87,50.0,90.0,1.0,0.5,1.0,1916.8
16.95,20.0,180.0,1.0,0.5,1.0,1905.1
9.99,10.0,30.0,1.0,0.5,1.0,1671.2
4.99,5.0,180.0,1.0,0.5,1.0,1258.9
73.26,100.0,365.0,2.0,0.5,1.0,1336.4
19.23,100.0,7.0,2.0,0.5,1.0,2125.7
36.63,50.0,365.0,2.0,0.5,1.0,2062.4
10.53,20.0,90.0,2.0,0.5,1.0,2508.2
38.46,50.0,30.0,2.0,0.5,1.0,1685.1
3.66,5.0,365.0,1.0,0.5,1.0,1627.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1553.7
4.3,20.0,365.0,2.0,0.5,1.0,1864.5
4.99,5.0,90.0,1.0,0.5,1.0,1009.7
93.46000000000001,100.0,7.0,2.0,0.5,1.0,1826.8
4.24,5.0,180.0,1.0,0.5,1.0,1299.4
52.63,100.0,90.0,2.0,0.5,1.0,1741.6
4.98,5.0,365.0,1.0,0.5,1.0,1068.2
9.17,10.0,90.0,1.0,0.5,1.0,1403.2
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1378.6
0.09,20.0,365.0,2.0,0.5,1.0,1533.0
17.86,50.0,180.0,2.0,0.5,1.0,1664.9
9.99,10.0,90.0,1.0,0.5,1.0,1605.1
91.74000000000001,100.0,90.0,1.0,0.5,1.0,1741.6
0.96,5.0,7.0,2.0,0.5,1.0,1593.1
99.97,100.0,30.0,1.0,0.5,1.0,1178.0
5.26,100.0,30.0,2.0,0.5,1.0,1187.9
26.32,50.0,90.0,2.0,0.5,1.0,1644.9
9.99,10.0,7.0,1.0,0.5,1.0,1575.5
19.419999999999998,20.0,30.0,1.0,0.5,1.0,2070.0
0.53,10.0,30.0,2.0,0.5,1.0,1477.5
14.65,20.0,365.0,1.0,0.5,1.0,1669.8
0.05,5.0,180.0,2.0,0.5,1.0,2998.6
0.09,5.0,90.0,2.0,0.5,1.0,1238.8
15.38,20.0,30.0,2.0,0.5,1.0,1082.6
4.99,5.0,30.0,1.0,0.5,1.0,1545.2
8.47,10.0,180.0,1.0,0.5,1.0,2525.7
0.45,100.0,365.0,2.0,0.5,1.0,1080.2
4.99,5.0,7.0,1.0,0.5,1.0,1027.2
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1048.0
