0,1,2,3,4,5,6
4.59,5.0,90.0,1.0,0.5,1.0,3082.6
0.23,50.0,365.0,2.0,0.5,1.0,2381.6
76.92,100.0,30.0,1.0,0.5,1.0,2689.8
9.17,10.0,90.0,2.0,0.5,1.0,2369.9
10.75,50.0,365.0,2.0,0.5,1.0,4597.3
0.18,20.0,180.0,2.0,0.5,1.0,2627.3
35.71,100.0,180.0,2.0,0.5,1.0,5775.8
10.53,20.0,90.0,1.0,0.5,1.0,2397.6
1.05,20.0,30.0,2.0,0.5,1.0,3247.3
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1911.1
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2072.4
1.08,5.0,365.0,1.0,0.5,1.0,2224.6
15.38,20.0,30.0,1.0,0.5,1.0,2982.5
46.730000000000004,50.0,7.0,1.0,0.5,1.0,2489.8
19.86,20.0,7.0,1.0,0.5,1.0,1124.7
9.62,50.0,7.0,2.0,0.5,1.0,2636.2
18.69,20.0,7.0,1.0,0.5,1.0,1515.8
0.09,10.0,180.0,1.0,0.5,1.0,1669.2
8.47,10.0,180.0,1.0,0.5,1.0,2592.9
4.99,5.0,30.0,1.0,0.5,1.0,1859.3
19.23,100.0,7.0,2.0,0.5,1.0,4123.9
99.3,100.0,7.0,1.0,0.5,1.0,1430.1
0.36,20.0,90.0,2.0,0.5,1.0,4194.3
16.95,20.0,180.0,1.0,0.5,1.0,2547.3
99.97,100.0,30.0,1.0,0.5,1.0,2142.1
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1915.6
49.82,50.0,365.0,1.0,0.5,1.0,1469.8
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,2803.3
49.96,50.0,90.0,1.0,0.5,1.0,1798.5
26.32,50.0,90.0,1.0,0.5,1.0,2082.2
18.35,20.0,90.0,1.0,0.5,1.0,2292.4
49.99,50.0,7.0,1.0,0.5,1.0,1939.7
3.66,5.0,365.0,1.0,0.5,1.0,2438.5
4.970000000000001,5.0,7.0,2.0,0.5,1.0,3233.6
0.53,10.0,30.0,2.0,0.5,1.0,4090.4
73.26,100.0,365.0,1.0,0.5,1.0,1778.1
4.99,5.0,180.0,1.0,0.5,1.0,1850.5
2.63,5.0,90.0,1.0,0.5,1.0,4767.7
38.46,50.0,30.0,1.0,0.5,1.0,1247.6
9.99,10.0,30.0,1.0,0.5,1.0,1113.2
4.99,5.0,90.0,1.0,0.5,1.0,1752.4
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1288.7
4.67,5.0,7.0,1.0,0.5,1.0,2715.3
52.63,100.0,90.0,1.0,0.5,1.0,1723.1
5.26,10.0,90.0,1.0,0.5,1.0,1780.3
9.93,10.0,7.0,1.0,0.5,1.0,980.3
0.96,5.0,7.0,2.0,0.5,1.0,2506.0
0.26,5.0,30.0,2.0,0.5,1.0,2799.8
2.15,10.0,365.0,1.0,0.5,1.0,2577.8
7.33,10.0,365.0,1.0,0.5,1.0,1597.0
99.82,100.0,180.0,1.0,0.5,1.0,1988.6
4.85,5.0,30.0,1.0,0.5,1.0,1174.9
19.99,20.0,7.0,1.0,0.5,1.0,989.9000000999999
0.02,5.0,365.0,2.0,0.5,1.0,2280.6
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1160.3
1.82,100.0,90.0,2.0,0.5,1.0,1977.2
19.93,20.0,365.0,1.0,0.5,1.0,1421.9
0.45,100.0,365.0,2.0,0.5,1.0,1387.5
