0,1,2,3,4,5,6
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,1634.0
0.09,20.0,365.0,2.0,0.5,1.0,1156.0
4.85,5.0,30.0,1.0,0.5,1.0,1484.0
18.69,20.0,7.0,1.0,0.5,1.0,1935.0
7.14,20.0,180.0,1.0,0.5,1.0,1808.0
42.37,50.0,180.0,1.0,0.5,1.0,2229.0
38.46,50.0,30.0,1.0,0.5,1.0,2115.0
0.91,50.0,90.0,2.0,0.5,1.0,1100.0
4.99,5.0,7.0,1.0,0.5,1.0,1329.0
15.38,20.0,30.0,1.0,0.5,1.0,2072.0
52.63,100.0,90.0,2.0,0.5,1.0,2110.0
49.65,50.0,7.0,1.0,0.5,1.0,1294.0
0.05,5.0,180.0,2.0,0.5,1.0,1179.0
0.18,20.0,180.0,2.0,0.5,1.0,1404.0
73.26,100.0,365.0,1.0,0.5,1.0,2277.0
8.47,10.0,180.0,1.0,0.5,1.0,2250.0
49.96,50.0,90.0,1.0,0.5,1.0,1550.0
49.91,50.0,180.0,1.0,0.5,1.0,1396.0
1.79,5.0,180.0,1.0,0.5,1.0,2195.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1541.0
2.15,10.0,365.0,1.0,0.5,1.0,2580.0
4.3,20.0,365.0,1.0,0.5,1.0,2841.0
14.65,20.0,365.0,1.0,0.5,1.0,1586.0
4.99,5.0,30.0,1.0,0.5,1.0,1767.0
0.53,10.0,30.0,2.0,0.5,1.0,1345.0
19.979999999999997,20.0,90.0,1.0,0.5,1.0,1475.0
4.98,5.0,365.0,1.0,0.5,1.0,1491.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1801.0
9.99,10.0,7.0,1.0,0.5,1.0,1425.0
99.82,100.0,180.0,1.0,0.5,1.0,1975.0
3.66,5.0,365.0,1.0,0.5,1.0,1617.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2030.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1991.0
17.86,50.0,180.0,1.0,0.5,1.0,1532.0
7.33,10.0,365.0,1.0,0.5,1.0,1702.0
