0,1,2,3,4,5,6
9.96,10.0,365.0,1.0,0.5,1.0,2650.0
4.99,5.0,90.0,1.0,0.5,1.0,2239.0
9.350000000000001,10.0,7.0,2.0,0.5,1.0,1612.0
4.98,5.0,365.0,1.0,0.5,1.0,1632.0
0.96,5.0,7.0,2.0,0.5,1.0,2314.0
48.54,50.0,30.0,1.0,0.5,1.0,2465.0
99.91000000000001,100.0,90.0,1.0,0.5,1.0,2029.0
15.38,20.0,30.0,2.0,0.5,1.0,3543.0
0.05,10.0,365.0,2.0,0.5,1.0,2695.0
0.09,5.0,90.0,2.0,0.5,1.0,3421.0
9.709999999999999,10.0,30.0,1.0,0.5,1.0,2042.0
5.26,10.0,90.0,2.0,0.5,1.0,2410.0
1.05,20.0,30.0,2.0,0.5,1.0,1713.0
4.99,5.0,7.0,1.0,0.5,1.0,2592.0
0.36,20.0,90.0,2.0,0.5,1.0,2065.0
4.3,20.0,365.0,2.0,0.5,1.0,1608.0
21.51,100.0,365.0,2.0,0.5,1.0,1455.0
0.18,20.0,180.0,2.0,0.5,1.0,2210.0
0.23,50.0,365.0,2.0,0.5,1.0,2806.0
16.95,20.0,180.0,2.0,0.5,1.0,1412.0
9.62,50.0,7.0,2.0,0.5,1.0,1232.0
8.47,10.0,180.0,2.0,0.5,1.0,1130.0
0.18,10.0,90.0,2.0,0.5,1.0,1874.0
3.8499999999999996,20.0,7.0,2.0,0.5,1.0,1478.0
46.730000000000004,50.0,7.0,1.0,0.5,1.0,1667.0
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1725.0
3.66,5.0,365.0,2.0,0.5,1.0,1742.0
52.63,100.0,90.0,2.0,0.5,1.0,1895.0
49.65,50.0,7.0,2.0,0.5,1.0,2594.0
73.26,100.0,365.0,1.0,0.5,1.0,2057.0
17.86,50.0,180.0,2.0,0.5,1.0,1966.0
0.05,5.0,180.0,2.0,0.5,1.0,861.0
0.46,50.0,180.0,2.0,0.5,1.0,875.0
18.35,20.0,90.0,1.0,0.5,1.0,2558.0
9.99,10.0,7.0,1.0,0.5,1.0,1343.0
2.63,5.0,90.0,2.0,0.5,1.0,3005.0
99.64,100.0,365.0,1.0,0.5,1.0,7376.0
19.23,100.0,7.0,2.0,0.5,1.0,1441.0
7.6899999999999995,10.0,30.0,2.0,0.5,1.0,2187.0
1.82,100.0,90.0,2.0,0.5,1.0,1392.0
10.53,20.0,90.0,2.0,0.5,1.0,1579.0
0.45,100.0,365.0,2.0,0.5,1.0,946.0
14.65,20.0,365.0,1.0,0.5,1.0,2141.0
93.46000000000001,100.0,7.0,2.0,0.5,1.0,2487.0
4.24,5.0,180.0,1.0,0.5,1.0,2303.0
4.59,5.0,90.0,1.0,0.5,1.0,2304.0
5.26,100.0,30.0,2.0,0.5,1.0,1351.0
2.15,10.0,365.0,2.0,0.5,1.0,1528.0
45.87,50.0,90.0,2.0,0.5,1.0,1227.0
19.99,20.0,30.0,1.0,0.5,1.0,1934.0
99.3,100.0,7.0,2.0,0.5,1.0,1205.0
1.92,10.0,7.0,2.0,0.5,1.0,1840.0
19.93,20.0,365.0,1.0,0.5,1.0,1914.0
99.82,100.0,180.0,1.0,0.5,1.0,1704.0
0.53,10.0,30.0,2.0,0.5,1.0,3603.0
49.99,50.0,30.0,1.0,0.5,1.0,1392.0
19.959999999999997,20.0,180.0,1.0,0.5,1.0,2445.0
9.99,10.0,90.0,1.0,0.5,1.0,1102.0
2.63,50.0,30.0,2.0,0.5,1.0,1340.0
18.69,20.0,7.0,2.0,0.5,1.0,2429.0
36.63,50.0,365.0,2.0,0.5,1.0,2621.0
9.98,10.0,180.0,1.0,0.5,1.0,2444.0
4.99,5.0,180.0,1.0,0.5,1.0,1803.0
4.67,5.0,7.0,2.0,0.5,1.0,2041.0
1.08,5.0,365.0,2.0,0.5,1.0,917.0
0.09,20.0,365.0,2.0,0.5,1.0,963.0
19.99,20.0,7.0,1.0,0.5,1.0,1161.0
19.86,20.0,7.0,2.0,0.5,1.0,1412.0
1.79,5.0,180.0,2.0,0.5,1.0,857.0
0.09,10.0,180.0,2.0,0.5,1.0,1848.0
0.26,5.0,30.0,2.0,0.5,1.0,1529.0
9.93,10.0,7.0,1.0,0.5,1.0,7020.0
10.75,50.0,365.0,2.0,0.5,1.0,2816.0
42.37,50.0,180.0,2.0,0.5,1.0,1938.0
26.32,50.0,90.0,2.0,0.5,1.0,1116.0
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1185.0
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1639.0
38.46,50.0,30.0,2.0,0.5,1.0,1127.0
7.33,10.0,365.0,1.0,0.5,1.0,2547.0
4.85,5.0,30.0,2.0,0.5,1.0,1676.0
49.96,50.0,90.0,1.0,0.5,1.0,2361.0
84.75,100.0,180.0,1.0,0.5,1.0,3505.0
0.92,100.0,180.0,2.0,0.5,1.0,1227.0
3.57,10.0,180.0,1.0,0.5,1.0,3508.0
91.74000000000001,100.0,90.0,1.0,0.5,1.0,2734.0
7.14,20.0,180.0,2.0,0.5,1.0,2294.0
97.09,100.0,30.0,2.0,0.5,1.0,2839.0
9.99,10.0,30.0,1.0,0.5,1.0,2194.0
76.92,100.0,30.0,2.0,0.5,1.0,2467.0
99.97,100.0,30.0,1.0,0.5,1.0,2000.0
35.71,100.0,180.0,2.0,0.5,1.0,1904.0
4.99,5.0,30.0,1.0,0.5,1.0,1991.0
0.91,50.0,90.0,2.0,0.5,1.0,1547.0
0.02,5.0,365.0,2.0,0.5,1.0,2359.0
49.82,50.0,365.0,1.0,0.5,1.0,2323.0
49.99,50.0,7.0,1.0,0.5,1.0,1458.0
3.8499999999999996,5.0,30.0,2.0,0.5,1.0,2682.0
4.970000000000001,5.0,7.0,1.0,0.5,1.0,2098.0
49.91,50.0,180.0,1.0,0.5,1.0,1632.0
9.17,10.0,90.0,1.0,0.5,1.0,3191.0
