0,1,2,3,4,5,6
0.45,100.0,365.0,2.0,0.5,1.0,2267.9
9.99,10.0,90.0,1.0,0.5,1.0,1941.7
2.63,5.0,90.0,1.0,0.5,1.0,1964.5
9.99,10.0,30.0,1.0,0.5,1.0,1822.1
35.71,100.0,180.0,1.0,0.5,1.0,2635.8
99.64,100.0,365.0,1.0,0.5,1.0,1681.8
5.26,100.0,30.0,2.0,0.5,1.0,1843.1
99.99000000000001,100.0,7.0,1.0,0.5,1.0,1751.9
49.82,50.0,365.0,1.0,0.5,1.0,1434.2
15.38,20.0,30.0,1.0,0.5,1.0,1513.4
9.62,50.0,7.0,2.0,0.5,1.0,1557.5
3.57,10.0,180.0,2.0,0.5,1.0,2262.6
49.99,50.0,7.0,1.0,0.5,1.0,1868.1
26.32,50.0,90.0,1.0,0.5,1.0,1957.3
4.67,5.0,7.0,1.0,0.5,1.0,1558.1
19.979999999999997,20.0,90.0,2.0,0.5,1.0,1401.2
49.99,50.0,30.0,2.0,0.5,1.0,1477.4
9.99,10.0,7.0,1.0,0.5,1.0,1620.0
4.99,5.0,30.0,1.0,0.5,1.0,1269.5
4.970000000000001,5.0,7.0,1.0,0.5,1.0,1108.6
4.99,5.0,7.0,1.0,0.5,1.0,866.1
19.419999999999998,20.0,30.0,1.0,0.5,1.0,1223.3
19.959999999999997,20.0,180.0,1.0,0.5,1.0,1146.7
0.53,10.0,30.0,2.0,0.5,1.0,1449.1
16.95,20.0,180.0,1.0,0.5,1.0,1309.2
3.66,5.0,365.0,1.0,0.5,1.0,1299.5
0.09,10.0,180.0,2.0,0.5,1.0,1341.4
0.46,50.0,180.0,2.0,0.5,1.0,1469.7
73.26,100.0,365.0,1.0,0.5,1.0,1444.7
84.75,100.0,180.0,1.0,0.5,1.0,1200.9
91.74000000000001,100.0,90.0,1.0,0.5,1.0,864.9
9.98,10.0,180.0,1.0,0.5,1.0,1195.2
0.02,5.0,365.0,2.0,0.5,1.0,879.9
49.96,50.0,90.0,1.0,0.5,1.0,1119.3
8.47,10.0,180.0,1.0,0.5,1.0,908.9
14.65,20.0,365.0,1.0,0.5,1.0,1252.3
4.98,5.0,365.0,1.0,0.5,1.0,1084.5
0.26,5.0,30.0,2.0,0.5,1.0,924.5
3.8499999999999996,20.0,7.0,1.0,0.5,1.0,801.8000000999999
4.59,5.0,90.0,1.0,0.5,1.0,986.0
52.63,100.0,90.0,1.0,0.5,1.0,1291.1
19.99,20.0,7.0,1.0,0.5,1.0,986.9
36.63,50.0,365.0,1.0,0.5,1.0,1420.1
45.87,50.0,90.0,1.0,0.5,1.0,859.4
3.8499999999999996,5.0,30.0,1.0,0.5,1.0,1141.4
0.23,50.0,365.0,2.0,0.5,1.0,968.6999999000001
4.24,5.0,180.0,1.0,0.5,1.0,1360.4
18.35,20.0,90.0,1.0,0.5,1.0,1117.6
7.6899999999999995,10.0,30.0,1.0,0.5,1.0,979.8
19.93,20.0,365.0,1.0,0.5,1.0,681.1
99.82,100.0,180.0,1.0,0.5,1.0,1292.0
19.23,100.0,7.0,1.0,0.5,1.0,1124.2
1.92,10.0,7.0,2.0,0.5,1.0,1494.4
42.37,50.0,180.0,1.0,0.5,1.0,1209.2
0.36,20.0,90.0,2.0,0.5,1.0,653.6
49.91,50.0,180.0,1.0,0.5,1.0,823.4
9.709999999999999,10.0,30.0,1.0,0.5,1.0,1167.5
93.46000000000001,100.0,7.0,1.0,0.5,1.0,1204.7
7.33,10.0,365.0,1.0,0.5,1.0,1084.1
10.53,20.0,90.0,1.0,0.5,1.0,1703.0
9.350000000000001,10.0,7.0,1.0,0.5,1.0,1384.4
49.65,50.0,7.0,2.0,0.5,1.0,1695.5
48.54,50.0,30.0,1.0,0.5,1.0,1319.0
7.14,20.0,180.0,1.0,0.5,1.0,1650.0
0.91,50.0,90.0,2.0,0.5,1.0,1120.6
2.15,10.0,365.0,2.0,0.5,1.0,1377.4
9.96,10.0,365.0,1.0,0.5,1.0,1058.4
4.3,20.0,365.0,1.0,0.5,1.0,1463.7
1.82,100.0,90.0,2.0,0.5,1.0,2415.1
1.79,5.0,180.0,1.0,0.5,1.0,1831.7
1.05,20.0,30.0,2.0,0.5,1.0,1327.6
0.09,5.0,90.0,2.0,0.5,1.0,1231.0
76.92,100.0,30.0,2.0,0.5,1.0,1776.5
99.91000000000001,100.0,90.0,1.0,0.5,1.0,1107.5
0.92,100.0,180.0,2.0,0.5,1.0,1754.0
1.08,5.0,365.0,1.0,0.5,1.0,1966.3
38.46,50.0,30.0,2.0,0.5,1.0,1461.1
0.05,5.0,180.0,2.0,0.5,1.0,934.1
9.93,10.0,7.0,1.0,0.5,1.0,1086.0
4.99,5.0,180.0,1.0,0.5,1.0,1170.8
0.18,10.0,90.0,2.0,0.5,1.0,1489.5
